"id","domain","concern","issue","theme","description"
139,3,9,35,"Inequity",""
140,3,9,35,"Self Aware",""
141,3,9,36,"Ability",""
142,3,9,36,"Projection",""
143,3,9,36,"Speculation",""
144,3,9,36,"Desire",""
145,3,10,37,"Proven",""
146,3,10,37,"Result",""
147,3,10,37,"Process",""
148,3,10,37,"Unproven",""
149,3,10,38,"Effect",""
150,3,10,38,"Accurate",""
151,3,10,38,"Non-Accurate",""
152,3,10,38,"Cause",""
153,3,10,39,"Trust",""
154,3,10,39,"Expectation",""
155,3,10,39,"Determination",""
156,3,10,39,"Test",""
157,3,10,40,"Theory",""
158,3,10,40,"Ending",""
159,3,10,40,"Unending",""
160,3,10,40,"Hunch",""
161,3,11,41,"Consider",""
162,3,11,41,"Support",""
163,3,11,41,"Oppose",""
164,3,11,41,"Reconsider",""
165,3,11,42,"Pursuit",""
166,3,11,42,"Faith",""
167,3,11,42,"Disbelief",""
168,3,11,42,"Avoidance",""
169,3,11,43,"Control",""
170,3,11,43,"Conscience",""
171,3,11,43,"Temptation",""
172,3,11,43,"Uncontrolled",""
173,3,11,44,"Logic",""
174,3,11,44,"Help",""
175,3,11,44,"Hinder",""
176,3,11,44,"Feeling",""
177,3,12,45,"Certainty",""
178,3,12,45,"Acceptance",""
179,3,12,45,"Nonacceptance",""
180,3,12,45,"Potentiality",""
181,3,12,46,"Proaction",""
182,3,12,46,"Deduction",""
183,3,12,46,"Induction",""
184,3,12,46,"Reaction",""
185,3,12,47,"Inaction",""
186,3,12,47,"Reduction",""
187,3,12,47,"Production",""
188,3,12,47,"Protection",""
189,3,12,48,"Probability",""
190,3,12,48,"Evaluation",""
191,3,12,48,"Reevaluation",""
192,3,12,48,"Possibility",""
193,4,13,49,"Knowledge",""
194,4,13,49,"Actuality",""
195,4,13,49,"Perception",""
196,4,13,49,"Thought",""
197,4,13,50,"Ability",""
198,4,13,50,"Aware",""
199,4,13,50,"Self Aware",""
200,4,13,50,"Desire",""
201,4,13,51,"Order",""
202,4,13,51,"Inertia",""
203,4,13,51,"Change",""
204,4,13,51,"Chaos",""
205,4,13,52,"Equity",""
206,4,13,52,"Projection",""
207,4,13,52,"Speculation",""
208,4,13,52,"Inequity",""
209,4,14,53,"Proven",""
210,4,14,53,"Effect",""
211,4,14,53,"Cause",""
212,4,14,53,"Unproven",""
213,4,14,54,"Theory",""
214,4,14,54,"Trust",""
215,4,14,54,"Test",""
216,4,14,54,"Hunch",""
217,4,14,55,"Accurate",""
218,4,14,55,"Result",""
219,4,14,55,"Process",""
220,4,14,55,"Non-Accurate",""
221,4,14,56,"Expectation",""
222,4,14,56,"Ending",""
223,4,14,56,"Unending",""
224,4,14,56,"Determination",""
225,4,15,57,"Consider",""
226,4,15,57,"Pursuit",""
227,4,15,57,"Avoidance",""
228,4,15,57,"Reconsider",""
229,4,15,58,"Logic",""
230,4,15,58,"Control",""
231,4,15,58,"Uncontrolled",""
232,4,15,58,"Feeling",""
233,4,15,59,"Faith",""
234,4,15,59,"Support",""
235,4,15,59,"Oppose",""
236,4,15,59,"Disbelief",""
237,4,15,60,"Conscience",""
238,4,15,60,"Help",""
239,4,15,60,"Hinder",""
240,4,15,60,"Temptation",""
241,4,16,61,"Certainty",""
242,4,16,61,"Proaction",""
243,4,16,61,"Reaction",""
244,4,16,61,"Potentiality",""
245,4,16,62,"Probability",""
246,4,16,62,"Inaction",""
247,4,16,62,"Protection",""
248,4,16,62,"Possibility",""
249,4,16,63,"Deduction",""
250,4,16,63,"Acceptance",""
251,4,16,63,"Nonacceptance",""
252,4,16,63,"Induction",""
253,4,16,64,"Reduction",""
254,4,16,64,"Evaluation",""
255,4,16,64,"Reevaluation",""
256,4,16,64,"Production",""
