"id","story","role","character","memberID","agent_name","cw_name","img","MC_resolve","MC_growth","MC_approach","MC_PS_style","cw_age","cw_gender","cw_communication_style","cw_background","cw_appearance","cw_relationships","cw_ambition","cw_character_defects","cw_thoughts","cw_relatedness","cw_restrictions","locations","persons","events","noetictension","impression","drama_function","drama_role","field29","field30"
37,5,1," Archetype",,315,"LEU",315,,,,,,"m",,,,,,,,,,,,,,,"To bring the people back on the right track.","The ideal leader.",,
38,5,2," Impact Character",,402,"OCHSENBEIN",402,,,,,,"m",,,,,,,,,,,,,,,"The radicalize the liberals.","Leader of Volunteerism.",,
39,5,5,"Main Character",,532,"CONSTANTIN",532,,,,,,"m",,,,,,,,,,,,"1. The parson's foster son.
2. Liberal education.
3. Political career.
4. Return to God (Josef Leu).
5. Sonderbund, the ""Holy War"".
6. Exile and purification.
7. Return and community with God.",1,10,"To test all and keep the good.","The advocate of the Church.",,
40,5,6," Archetype",,1059,"REGLI",1059,,,,,,"m",,,,,,,,,,,,,,,"To care for the people.","The Church father.",,
41,5,3," Archetype",,2,"THEODOR",2,,,,,,"m",,,,,,,,,,,,,,,"To practice compassion and benevolence.","The noble aristocrat.",,
42,5,4," Archetype",,521,"PHILIPP SEGESSER",521,,,,,,"m",,,,,,,,,,,,,,,"Integration of law and history.","The moderate.",,
43,5,8," Archetype",,109,"DUFOUR",109,,,,,,"m",,,,,,,,,,,,,,,"The defender of the Confederation.","The right man at the right place.",,
44,5,7," Archetype",,473,"SALIS-SOGLIO",473,,,,,,"m",,,,,,,,,,,,,,,"To defend the Catholic cause.","The last resource.",,
45,6,1,"Main Character",,234,"BERNHARD",234,0,0,0,0,,"m",,,,,,,,,,,,"1. Sad childhood.
2. Sanskrit translation.
3. Local parson.
4. Sensual spirituality.
5. Economic disaster.
6. Communion with God & pure love analogy to positive Christ.
7. Suicide.",2,19,"To sacrifice himself for the people.","The revolutionary idealist.",,
46,6,2," Archetype",,1060,"ELISA",1060,,,,,,"m",,,,,,,,,,,,,,,"To look at the other side.","The bad wife.",,
47,6,5," Archetype",,38,"BLUNTSCHLI",38,,,,,,"m",,,,,,,,,,,,,,,"To warn and to guide.","The loyal friend.",,
48,6,6," Archetype",,1061,"MARIE",1061,,,,,,"m",,,,,,,,,,,,,,,"The unconditional love.","The Virgin Mary.",,
49,6,3," Archetype",,440,"RAHN-ESCHER",440,,,,,,"m",,,,,,,,,,,,,,,"To give meaning to ideals and dreams","The agitator.",,
50,6,4," Archetype",,247,"MOTHER",247,,,,,," f",,,,,,,,,,,,,,,"To make an end.","The knowledgable.",,
51,6,7," Archetype",,1082,"ANNA H.",1082,,,,,," f",,,,,,,,,,,,,,,"To show material possibilities.","The seduction.",,
52,6,8," Impact Character",,238,"FATHER",238,,,,,,"m",,,,,,,,,,,,,,,"To ignore and reject beauty.","The radical materialist.",,
53,7,1," Archetype",,1078,"GEORG",1078,,,,,,"m",,,,,,,,,,,,,,,"To lead the people to the promised land.","The iron lark.",,
54,7,2," Archetype",,1083,"BISMARCK",1083,,,,,,"m",,,,,,,,,,,,,,,"To rejoice with destruction.","The man of blood and iron.",,
55,7,5,"Main Character",,224,"EMMA",224,0,0,0,0,," f",,,,,,,,,,,,"1. Boring childhood mitigated by romantic love affairs.
2. Hecker and the liberal movement.
3. Publicist and revolutionary.
4. Zürich.
5. Italian connection.
6. Publicist and exile.
7. First International.",3,23,"To do what is necessary.","The liberty fighter.",,
56,7,6," Archetype",,1084,"WEDEKIND",1084,,,,,,"m",,,,,,,,,,,,,,,"To inspire hope.","The children of Germany.",,
57,7,3," Archetype",,1085,"BECKER",1085,,,,,,"m",,,,,,,,,,,,,,,"To support the cause.","The skilled military.",,
58,7,8," Impact Character",,1086,"HECKER",1086,,,,,,"m",,,,,,,,,,,,,,,,"The hesitator.",,
59,7,7," Archetype",,1062,"DELAPORTE",1062,,,,,,"m",,,,,,,,,,,,,,,,"The last resort.",,
60,7,4," Archetype",,1088,"STRUVE",1088,,,,,,"m",,,,,,,,,,,,,,,,"The hinderer",,
61,9,1,"Main Character",,75,"KARL",75,,,,,,"m",,,,,,,,,,,,"1. Craftmenship.
2. Cooperatives in Zürich.
3. Texas expedition.
4. Democratic movement.
5. Political career.
6. First International.
7. 1874 constitutional revision.",1,11,,,,
62,8,1,"Main Character",,130,"ALFRED",130,,,,,,"m",,,,,,,,,,,,"1. Aristocratic childhood.
2. Liberal education.
3. Investor & entrepreneur.
4. Private credit institutes & banking system.
5. Gotthard tunnel & Bismarck system.
6. Private train system.
7. Political decline & health issues.",2,3,,,,
