"id","memberID","last_name","first_name","groupID","selection_class","agenttype1","agenttype2","gender","other_name","img","birthday","authority_organization","birth_location","deathday","death_location","workplace","knows","shortbio","data_evaluation","authority_record","field5","field6","field7","field8","field9","field10","death_day","field12","field13","field14","field15","field16","field17","field18","field19","field20","field21"
13,"AsL1814","Aston","Louise",,"3",1,5,"f","","",1814-01-01 00:00:00,0,"",1871-01-01 00:00:00,"na","na","","DE – “She served in the Freikorps in Sch","2","na",,,,,,,,,,,,,,,,,
14,"BaNF1740","Bachmann","Niklaus Franz, von",,"2",1,2,"m","","",1740-01-01 00:00:00,0,"",1831-01-01 00:00:00,"","","","General, Eidgenössischer Oberbefehlshabe","4","10671131",,,,,,,,,,,,,,,,,
15,"BaFU1689","Balthasar","Franz Urs, von",,"4",1,4,"m","","",1689-01-01 00:00:00,0,"Luzern",1763-01-01 00:00:00,"","","","Historiker (für Objektivität), für Bildu","1","",,,,,,,,,,,,,,,,,
16,"BaS1751","Bandemer","Susanne, von",,"3",1,5,"f","","",1751-01-01 00:00:00,0,"",1828-01-01 00:00:00,"na","na","","(French) revolution as self-preservation","2","na",,,,,,,,,,,,,,,,,
17,"BaeH1814","Bär","Heinrich",,"1",1,2,"m","","",1814-01-01 00:00:00,0,"Weisslingen",0000-00-00 00:00:00,"","","","hilft Eltern auf dem Heimwesen","1","",,,,,,,,,,,,,,,,,
18,"BaC1812","Battaglini","Carlo",,"2",1,2,"m","","",1812-01-01 00:00:00,0,"",0000-00-00 00:00:00,"","","","","1","",,,,,,,,,,,,,,,,,
19,"BaGJ1797","Baumgartner","Gallus Jakob",,"2",1,2,"m","","",1797-01-01 00:00:00,0,"Altstätten",1869-01-01 00:00:00,"St. Gallen","Altstätten","","Revolutionsführer in St. Gallen","1","",,,,,,,,,,,,,,,,,
20,"BeH1783","Beauharnais","Hortense, de",,"2",1,2,"f","","",1783-01-01 00:00:00,0,"Aarburg, Thurgau",1837-01-01 00:00:00,"Arenenberg, Thurgau, Switzerland","Paris, France","","Politischer Flüchtling aus Frankreich in","2","na",,,,,,,,,,,,,,,,,
21,"BeMxxxx","Beck","Marcel",,"3",1,5,"m","","",0000-00-00 00:00:00,0,"",0000-00-00 00:00:00,"","","","“Entlarvung der Gründungsgeschichte der ","1","",,,,,,,,,,,,,,,,,
22,"BeL1851§","Begos","L.",,"2",1,2,"m","","",0000-00-00 00:00:00,0,"",0000-00-00 00:00:00,"","","","Lieutenant-Colonel Louis Begos ancien ca","2","na",,,,,,,,,,,,,,,,,
23,"BeKAA1807","Benary","Karl Albert Agathon",,"2",1,2,"m","","",1807-01-01 00:00:00,0,"",1861-01-01 00:00:00,"","","","Professor Sprache","1","",,,,,,,,,,,,,,,,,
24,"BeDFA1755","Berlepsch","Dorothea Friderika Aemilia, von",,"3",1,5,"f","","",1755-01-01 00:00:00,0,"",1830-01-01 00:00:00,"na","na","","actually Dorothea Friderika Aemilia von ","2","na",,,,,,,,,,,,,,,,,
25,"BeEE1768","Bernhardi","Elisabeth Eleonore",,"3",1,5,"f","Philogyn","",1768-01-01 00:00:00,0,"",1849-01-01 00:00:00,"Freiberg","Freiberg","","","2","na",,,,,,,,,,,,,,,,,
26,"Be833*","Berta","",,"2",1,5,"f","","",0000-00-00 00:00:00,0,"",0000-00-00 00:00:00,"Zürich, Switzerland","Zürich, Switzerland","","Princess Abbess of the Imperial Abbey of","4","81099071",,,,,,,,,,,,,,,,,
27,"BeA1753","Berthier","Louis Alexandre",,"2",1,3,"m","","",1753-01-01 00:00:00,0,"Neuchatel",1815-01-01 00:00:00,"Bamberg","Versailles","","Napoleons Marchall in Neuenburg von 1806","1","",,,,,,,,,,,,,,,,,
28,"BiAE1819","Biedermann","Alois Emanuel",,"2",1,2,"m","","",1819-01-01 00:00:00,0,"",1885-01-01 00:00:00,"","","","Sohn des Stadtrat Winterthur (1931)","1","",,,,,,,,,,,,,,,,,
29,"BiE1779","Biedermann","Emanuel",,"2",1,3,"m","","",1779-01-01 00:00:00,0,"Winterthur",1836-01-01 00:00:00,"","","","Stadrat Winterthur (1931)","1","",,,,,,,,,,,,,,,,,
30,"BlHWxxxx","Blanke","Horst Walter",,"3",1,5,"m","","",0000-00-00 00:00:00,0,"",0000-00-00 00:00:00,"","","","","1","",,,,,,,,,,,,,,,,,
31,"BlJ1799","Bleuler","Jakob",,"1",1,2,"m","","",1799-01-01 00:00:00,0,"Zollikon",1839-01-01 00:00:00,"","","","Taglöhner in Zürich","1","",,,,,,,,,,,,,,,,,
32,"BlS1829","Bleuler","Salomon",,"2",1,2,"m","","",1829-01-01 00:00:00,0,"",1886-01-01 00:00:00,"Winterthur, Switzerland","Zürich, Switzerland","","","4","62765296",,,,,,,,,,,,,,,,,
33,"BlWaH1869","Bleuler-Waser","Hedwig",,"2",1,2,"f","","",1869-01-01 00:00:00,0,"",1940-01-01 00:00:00,"Zollikon","Zürich","","","2","na",,,,,,,,,,,,,,,,,
34,"BlMLB1886","Bloch","Marc Léopold Benjamin",,"4",1,4,"m","","",1886-01-01 00:00:00,0,"",1944-01-01 00:00:00,"","","","Historiker der Annales school","1","",,,,,,,,,,,,,,,,,
35,"BlBoR1880","Bloch-Bollarg","Rosa",,"2",1,3,"f","","",1880-01-01 00:00:00,0,"",1922-01-01 00:00:00,"Zürich","Zürich","","","2","na",,,,,,,,,,,,,,,,,
36,"BlR1807","Blum","Robert   ",,"2",1,1,"m","","",1807-01-01 00:00:00,0,"",1848-01-01 00:00:00,"Vienna, Austria","Cologne, Germany","","German democratic politician, publicist,","1","",,,,,,,,,,,,,,,,,
37,"BlHH1656","Bluntschli","Hans Heinrich",,"3",1,5,"m","","",1656-01-01 00:00:00,0,"",1722-01-01 00:00:00,"","","","in «Memorabilia Tigurina» (1704)  extend","1","",,,,,,,,,,,,,,,,,
38,"BlJC1808","Bluntschli","Johan Caspar ",,"1",1,1,"m","","",1808-01-01 00:00:00,0,"Zürich/Karlsruhe",1881-01-01 00:00:00,"Karlsruhe","Zürich, Switzerland","","Dr. jur. Rechtswissenschaftler und Polit","4","14836641",,,,,,,,,,,,,,,,,
39,"BoJJ1698","Bodmer","Johann Jakob",,"3",1,5,"m","","",1698-01-01 00:00:00,0,"Critische Betrachtungen (1741) – CH –cur",1783-01-01 00:00:00,"","","","Sprachwissenschafter, gehörte zu den Pat","1","",,,,,,,,,,,,,,,,,
40,"BoK1809","Bodmer","Karl",,"2",1,2,"m","","",1809-01-01 00:00:00,0,"",1893-01-01 00:00:00,"Paris","Zürich","","","1","",,,,,,,,,,,,,,,,,
41,"Bo0000","Bodrik","na",,"2",1,6,"m","","",0000-00-00 00:00:00,0,"",0000-00-00 00:00:00,"","","","Professor italienischer Literatur in Zür","1","",,,,,,,,,,,,,,,,,
42,"BoeL1858","Bögli","Lina",,"4",1,4,"f","","",1858-01-01 00:00:00,0,"",1941-01-01 00:00:00,"","","","Biographer","1","",,,,,,,,,,,,,,,,,
43,"BoC1809","Boller","Conrad",,"1",1,2,"m","","",1809-01-01 00:00:00,0,"Pfäffikon",0000-00-00 00:00:00,"","","","hilft Vater auf Heimwesen","1","",,,,,,,,,,,,,,,,,
44,"BoNF1811","Bonaparte","Napoleon Franz",,"2",1,2,"m","Napoleon Franz Bonaparte; König von Rom","",1811-01-01 00:00:00,0,"",1832-01-01 00:00:00,"","","","","1","",,,,,,,,,,,,,,,,,
45,"BoSJ1732","Bondeli","(Suzanne) Julie",,"4",1,4,"f","","",1732-01-01 00:00:00,0,"",1778-01-01 00:00:00,"Neuchâtel, Switzerland","Bern, Switzerland","","","4","67259373",,,,,,,,,,,,,,,,,
46,"BoE1898","Bonjour","Edgar",,"3",1,5,"m","","",1898-01-01 00:00:00,0,"",1991-01-01 00:00:00,"","","","definition and defens of the Swiss “Sond","1","",,,,,,,,,,,,,,,,,
47,"BoKV1745","Bonstetten","Karl Viktor, von",,"1",1,3,"m","","",1745-01-01 00:00:00,0,"Bern/Genf",1832-01-01 00:00:00,"","","","Schriftsteller","1","",,,,,,,,,,,,,,,,,
48,"BoF1791","Bopp","Franz",,"2",1,2,"m","","",1791-01-01 00:00:00,0,"",1867-01-01 00:00:00,"","","","Professor Sanskrit","1","",,,,,,,,,,,,,,,,,
49,"Borel0000","Borel","???",,"2",1,6,"m","","",0000-00-00 00:00:00,0,"Neuchatel",0000-00-00 00:00:00,"","","","Pfarrer (Ministre) im Welschland, verhei","1","",,,,,,,,,,,,,,,,,
50,"BoE1835","Borel","Eugène",,"2",1,2,"m","","",1835-01-01 00:00:00,0,"",1892-01-01 00:00:00,"Bern","Neuchatel","","","1","",,,,,,,,,,,,,,,,,
51,"BoT1799","Bornhauser","Thomas",,"2",1,2,"m","","",1799-01-01 00:00:00,0,"Weinfelden",1856-01-01 00:00:00,"Müllheim","Weinfelden","","Revolutionsführer","1","",,,,,,,,,,,,,,,,,
52,"BoHJ1784","Bosshard","Hans Jakob",,"1",1,2,"m","","",1784-01-01 00:00:00,0,"Hittnau/Zürich",1839-01-01 00:00:00,"","","","arm","1","",,,,,,,,,,,,,,,,,
53,"BoJ1820","Bosshard","Johannes",,"1",1,2,"m","","",1820-01-01 00:00:00,0,"Wila",0000-00-00 00:00:00,"","","","unbekannt","1","",,,,,,,,,,,,,,,,,
54,"BoJB1627","Bossuet ","Jacques Bénigne ",,"2",1,5,"m","","",1627-01-01 00:00:00,0,"",1704-01-01 00:00:00,"France","France","","(1681) Discours sur l‘histoire universel","1","",,,,,,,,,,,,,,,,,
55,"Boyve1731","Boyve","Jérome-Emmanuel",,"2",1,5,"m","","",1731-01-01 00:00:00,0,"Neuchatel",1810-01-01 00:00:00,"Neuchatel","Neuchatel","","Chancilier in Neuchatel","1","",,,,,,,,,,,,,,,,,
56,"Brähm0000","Brähm","???",,"2",1,6,"m","","",0000-00-00 00:00:00,0,"Meilen",0000-00-00 00:00:00,"","","","Lehrer von Heinrich Escher","1","",,,,,,,,,,,,,,,,,
57,"BrEhM1755","Brentano-Ehrmann","Marianne",,"3",1,5,"f","","",1755-01-01 00:00:00,0,"",1795-01-01 00:00:00,"na","na","","also Marianne Ehrmann (1755-1795) (CH) –","2","na",,,,,,,,,,,,,,,,,
58,"BrFSC1765","Brun ","Friederike Sophie Christiane",,"3",1,5,"f","","",1765-01-01 00:00:00,0,"",1835-01-01 00:00:00,"Kopenhagen","Gräfentonna","","","2","na",,,,,,,,,,,,,,,,,
59,"HaS1805","Hatzfeld","Sophie, Gräfin von",,"5",1,2,"f","","",1805-01-01 00:00:00,0,"",1881-01-01 00:00:00,"Wiesbaden","Trachenberg","","German socialist and partner of Ferdinan","4","54940048",,,,,,,,,,,,,,,,,
60,"LaLxxxx","Lasalle","Lisbeth",,"5",1,2,"f","","",0000-00-00 00:00:00,0,"",0000-00-00 00:00:00,"","","","Daughter of Ferdinand Lasalle","1","",,,,,,,,,,,,,,,,,
61,"AsL1821","Assing","Rosa Ludmilla",,"5",1,2,"f","pseudonyms: Achim Lothar, Talora","",1821-01-01 00:00:00,0,"",1880-01-01 00:00:00,"Florence","Hamburg","","Jewish-German writer","4","100384493",,,,,,,,,,,,,,,,,
62,"Brunner0000","Brunner","???",,"2",1,6,"m","","",0000-00-00 00:00:00,0,"",0000-00-00 00:00:00,"","","","Oberstleutnant","1","",,,,,,,,,,,,,,,,,
63,"BueG1813","Büchner","Georg",,"2",1,2,"m","","",1813-01-01 00:00:00,0,"Hessen",1837-01-01 00:00:00,"Zürich, Switzerland","Riedstadt, Grand Duchy of Hesse","","Ausländischer Revolutionär an der Uni Zü","1","",,,,,,,,,,,,,,,,,
64,"BueG0000","Büchner","Georg",,"2",1,3,"m","","",0000-00-00 00:00:00,0,"",0000-00-00 00:00:00,"","","","1834 versuchter Selbstmord in Zürich","1","",,,,,,,,,,,,,,,,,
65,"Bu1746§","Buffon","",,"3",1,5,"m","","",0000-00-00 00:00:00,0,"",0000-00-00 00:00:00,"","","","wrote (1746) histoire naturelle (and oth","1","",,,,,,,,,,,,,,,,,
66,"Bullinger1504","Bullinger","Heinrich",,"3",1,5,"m","","",1504-01-01 00:00:00,0,"",1575-01-01 00:00:00,"Zürich, Switzerland","Bremgarten, Switzerland","","Theologieprofessorm später Pfarrer in Er","1","",,,,,,,,,,,,,,,,,
67,"BuJC1818","Burckhardt ","Jakob Christoph",,"1",1,5,"m","","",1818-01-01 00:00:00,0,"Basel",1897-01-01 00:00:00,"","","","Kultur- und Kunsthistoriker. ","1","",,,,,,,,,,,,,,,,,
68,"BueMCE1760","Bürger","Marie Christiane Elisabeth",,"3",1,5,"f","Elise Bürger","",1760-01-01 00:00:00,0,"",1833-01-01 00:00:00,"Frankfurt am Main","Stuttgart","","","2","na",,,,,,,,,,,,,,,,,
69,"Bürgi1801","Bürgi","David",,"2",1,2,"m","","",1801-01-01 00:00:00,0,"",1874-01-01 00:00:00,"Fluntern","Bäretschweil","","","4","103131442",,,,,,,,,,,,,,,,,
70,"BuCJC1818","Burkhardt","Carl Jacob Christoph",,"2",1,2,"m","","",1818-01-01 00:00:00,0,"Basel",1897-01-01 00:00:00,"Basel, Switzerland","Basel, Switzerland","","liberal-konservativ","1","",,,,,,,,,,,,,,,,,
71,"BueJG1793","Bürkli","Johann Georg",,"1",1,2,"m","","",1793-01-01 00:00:00,0,"",1851-01-01 00:00:00,"Zürich, Switzerland*","Schinznach","","bis 1827 Seidenhandelskaufmann ","4","D32392",,,,,,,,,,,,,,,,,
72,"BueFPD1818","Bürkli","Friedrich Paul David",,"5",1,3,"m","","",1818-01-01 00:00:00,0,"Zürich, Switzerland",1896-01-01 00:00:00,"","","","Friedrich Paul David Bürkli arbeitete vo","1","",,,,,,,,,,,,,,,,,
73,"BueHK1724§","Bürkli","Hans Kaspar",,"5",1,3,"m","","",0000-00-00 00:00:00,0,"Zürich, Switzerland*",0000-00-00 00:00:00,"","","","owner of the Bürklische Drukerey","1","",,,,,,,,,,,,,,,,,
74,"BueD1735","Bürkli","David",,"5",1,3,"m","","",1735-01-01 00:00:00,0,"Zürich, Switzerland*",1790-01-01 00:00:00,"","","","owner of the Bürklische Drukerey","4","1061010279",,,,,,,,,,,,,,,,,
75,"BueK1823","Bürkli","Karl ",,"1",1,1,"m",,"43460100_1429954533.jpg",1823-01-01 00:00:00,0,"Zürich/Mettmenstetten",1901-01-01 00:00:00,"Mettmenstetten","Zürich",,,,"117667099",,,,,,,,,,,,,,,,,
76,"By1788","Byron","",,"2",1,2,"m","","",1788-01-01 00:00:00,0,"",1824-01-01 00:00:00,"","","","Lord Byron schwärmte für die Schweiz","1","",,,,,,,,,,,,,,,,,
77,"CaMA1775","Calame","Marie-Anne",,"2",1,4,"f","","",1775-01-01 00:00:00,0,"",1834-01-01 00:00:00,"Le Locle","Le Locle","","Pietist.","4","67273396 ",,,,,,,,,,,,,,,,,
78,"vCaCJ1751","Campagne","Carl Joseph, von",,"1",1,3,"m","","",1751-01-01 00:00:00,0,"Bussenhausen",1833-01-01 00:00:00,"","","","Mystiker","1","",,,,,,,,,,,,,,,,,
79,"CaEH1892","Carr","Edward Hallett",,"2",1,2,"m","","",1892-01-01 00:00:00,0,"",1982-01-01 00:00:00,"London, England","London, England","","","4","24418",,,,,,,,,,,,,,,,,
80,"CaExxxx","Cassirer","Ernst",,"3",1,5,"m","","",0000-00-00 00:00:00,0,"",0000-00-00 00:00:00,"","","","","1","",,,,,,,,,,,,,,,,,
81,"CaNAX1767","Castella de Berlens","Nicolas Antoine Xavier ",,"2",1,2,"m","","",1767-01-01 00:00:00,0,"",1830-01-01 00:00:00,"Paris, France","Fribourg, Switzerland","","Swiss coronel during the Russian Campaig","2","na",,,,,,,,,,,,,,,,,
82,"CaC1801","Cattaneo","Carlo",,"2",1,2,"m","","",1801-01-01 00:00:00,0,"",1860-01-01 00:00:00,"Milan, Italy","Milan, Italy","","","1","",,,,,,,,,,,,,,,,,
83,"ChP1850","Chaponniere-Chaix","Pauline",,"2",1,2,"f","","",1850-01-01 00:00:00,0,"",1934-01-01 00:00:00,"Geneva, Switzerland","Geneva, Switzerland","","","2","na",,,,,,,,,,,,,,,,,
84,"ChX1757","Charles X of France","",,"2",1,3,"m","Karl X.","",1757-01-01 00:00:00,0,"",1836-01-01 00:00:00,"Görz, Austria (now in Italy)","Palace of Versailles, France","","König von Frankreich, gestürzt, Bruder v","2","na",,,,,,,,,,,,,,,,,
85,"ChAL1773","Chézny","Antoine Léonard, de",,"2",1,3,"m","","",1773-01-01 00:00:00,0,"",1832-01-01 00:00:00,"","","","Professor Sanskrit","1","",,,,,,,,,,,,,,,,,
86,"CiP1819","Cironi","Piero",,"2",1,2,"m","","",1819-01-01 00:00:00,0,"",1862-01-01 00:00:00,"Prato, Italy","Prato, Italy","","Patriot and dear friend of Giuseppe Mazz","4","49594102",,,,,,,,,,,,,,,,,
87,"CoN1743","Condorcet","Nicolas",,"2",1,3,"m","Marie Jean Antoine Nicolas de Caritat, m","",1743-01-01 00:00:00,0,"",1794-01-01 00:00:00,"Bourg-la-Reine, France","Ribemont, France","","entwickelt Idee der Volksinitiative","1","",,,,,,,,,,,,,,,,,
88,"CoA0000","Conseil","Auguste",,"2",1,6,"m","","",0000-00-00 00:00:00,0,"",0000-00-00 00:00:00,"","","","Spion, politischer Flüchtling, Conseil-A","1","",,,,,,,,,,,,,,,,,
89,"CoV1808","Considerant","Victor Proper",,"2",1,1,"m","","",1808-01-01 00:00:00,0,"",1893-01-01 00:00:00,"Paris, France","Salins-les-Bains, France","","Utopist, not directly involved in Swiss ","1","",,,,,,,,,,,,,,,,,
90,"CoB1767","Constant","Benjamin",,"2",1,2,"m","Henri-Benjamin Constant de Rebecque","",1767-01-01 00:00:00,0,"",1830-01-01 00:00:00,"Paris, France","Lausanne, Switzerland","","gemässigte Mitte (zw. Aristokratischer D","1","",,,,,,,,,,,,,,,,,
91,"CoKnV1861","Conzett-Knecht","Verena",,"2",1,2,"f","","",1861-01-01 00:00:00,0,"",0000-00-00 00:00:00,"na","na","","","2","na",,,,,,,,,,,,,,,,,
92,"CrAW0000","Cramer","Andreas Wilhelm",,"3",1,5,"m","","",0000-00-00 00:00:00,0,"",0000-00-00 00:00:00,"","","","Haus-Chronik: meinen Anverwandten und Fr","1","",,,,,,,,,,,,,,,,,
93,"CdGJP0000","Currat de Grandvillard","Jean-Pierre",,"2",1,6,"m","","",0000-00-00 00:00:00,0,"",0000-00-00 00:00:00,"","","","","2","na",,,,,,,,,,,,,,,,,
94,"DaC0000","Dahlmann","Carl",,"3",1,5,"m","","",0000-00-00 00:00:00,0,"",0000-00-00 00:00:00,"","","","Historiographer. „Modulations ins Volksn","1","",,,,,,,,,,,,,,,,,
95,"DaeJ1822","Dändliker","Jakob",,"2",1,2,"m","","",1822-01-01 00:00:00,0,"",1837-01-01 00:00:00,"","","","Lehrer, Rektor, Stadtrat, Prov. Sekundar","1","",,,,,,,,,,,,,,,,,
96,"DeM1495","Dentière","Marie",,"2",1,3,"f","Marie d’Ennetières","",1495-01-01 00:00:00,0,"",1561-01-01 00:00:00,"Geneva, Switzerland","Tournai, France","","","2","na",,,,,,,,,,,,,,,,,
97,"DiB1812","Diem","Bartholomäus",,"1",1,2,"m","","",1812-01-01 00:00:00,0,"Herisau (AR)/Zürich",1839-01-01 00:00:00,"","","","religiöser Dienstbote, arm","1","",,,,,,,,,,,,,,,,,
98,"DiJ1842","Dierauer","Johannes",,"3",1,5,"m","","",1842-01-01 00:00:00,0,"",1920-01-01 00:00:00,"","","","Schweizer Historiker","1","",,,,,,,,,,,,,,,,,
99,"DiJ0000","Dietliker","Jakob",,"1",1,6,"m","","",0000-00-00 00:00:00,0,"Wetzikon/Zürich",1839-01-01 00:00:00,"Zürich","Wetzikon","","Zimmermann, Mittelstand (nicht ganz arm)","1","",,,,,,,,,,,,,,,,,
101,"DiJ1819","Diggelmann","Jakob",,"1",1,2,"m","","",1819-01-01 00:00:00,0,"Pfäffikon/Zürich",1839-01-01 00:00:00,"","","","Schustergehilfe, sehr arm","1","",,,,,,,,,,,,,,,,,
102,"DiJFLD1807","Dittmar","Johanna Friederieke Louise",,"3",1,5,"f","","",1807-01-01 00:00:00,0,"",1884-01-01 00:00:00,"na","na","","Named actually Johanna Friederieke Louis","2","na",,,,,,,,,,,,,,,,,
103,"DoH1896","Domann","Hans",,"3",1,5,"m","","",1896-01-01 00:00:00,0,"",1944-01-01 00:00:00,"","","","Das Gemeinschaftsbewusstsein der V Orte ","1","",,,,,,,,,,,,,,,,,
104,"DoN0000","Domeisen","Norbert",,"3",1,5,"m","","",0000-00-00 00:00:00,0,"",0000-00-00 00:00:00,"","","","","2","na",,,,,,,,,,,,,,,,,
105,"Dorer1807","Dorer-Egloff","Eduard",,"2",1,2,"m","","",1807-01-01 00:00:00,0,"",1864-01-01 00:00:00,"Baden, Switzerland","Baden, Switzerland","","","1","",,,,,,,,,,,,,,,,,
106,"DrMG1812","Dreyfus","Markus Getsch",,"2",1,2,"m","Markus Götsch Dreifus(s)","",1812-01-01 00:00:00,0,"",1877-01-01 00:00:00,"Zürich","Endingen, Aargau, Switzerland","","Dreyfuss-Affaire, first conseil de guerr","1","",,,,,,,,,,,,,,,,,
107,"DrDH1799","Druey","Daniel-Henri",,"2",1,3,"m","","",1799-01-01 00:00:00,0,"",1855-01-01 00:00:00,"Bern, Switzerland","Faoug, Switzerland","","1845 radikaler Führer Waadt","4","57361171",,,,,,,,,,,,,,,,,
108,"DF0000","Du Fresne","",,"2",1,6,"m","","",0000-00-00 00:00:00,0,"",0000-00-00 00:00:00,"","","","Swiss coronel during the Russian Campaig","2","na",,,,,,,,,,,,,,,,,
109,"DuGH1787","Dufour","Guillaume-Henri",,"2",1,3,"m","","",1787-01-01 00:00:00,0,"Genf",1875-01-01 00:00:00,"Les Eaux-Vives, Geneva","Konstanz","","liberal-konservativ, protestant, Führer ","4","2495837",,,,,,,,,,,,,,,,,
110,"DuOAJ1817","Dufour-Onofrio","Anna Joséphine",,"2",1,2,"f","","",1817-01-01 00:00:00,0,"",0000-00-00 00:00:00,"na","na","","","2","na",,,,,,,,,,,,,,,,,
111,"DuA1802","Dumas","Alexandre",,"2",1,3,"m","","",1802-01-01 00:00:00,0,"",1870-01-01 00:00:00,"Seine-Maritime, France","Villers-Cotterêts, France","","reports about his experiences during the","4","51688902",,,,,,,,,,,,,,,,,
112,"DuALA1804","Dupin","Amantine-Lucile-Aurore",,"2",1,3,"f","George Sand","",1804-01-01 00:00:00,0,"",1876-01-01 00:00:00,"Nohant-Vic, France","Paris, France","","","4","46766944",,,,,,,,,,,,,,,,,
113,"DuR1867","Durrer","Robert",,"3",1,5,"m","","",1867-01-01 00:00:00,0,"",1934-01-01 00:00:00,"","","","Die Einheit Unterwaldens. Studien über d","1","",,,,,,,,,,,,,,,,,
115,"EdG1454","Edlibach","Gerold",,"4",1,4,"m","","",1454-01-01 00:00:00,0,"",1530-01-01 00:00:00,"","","","combination of historiography and politi","1","",,,,,,,,,,,,,,,,,
116,"EgHH1818","Egli","Hans Heinrich",,"1",1,2,"m","","",1818-01-01 00:00:00,0,"Wetzikon/Zürich",1839-01-01 00:00:00,"","","","Sohn armer Eltern","1","",,,,,,,,,,,,,,,,,
117,"ElF1794","Elgger","Franz, von",,"2",1,1,"m","","",1794-01-01 00:00:00,0,"",1858-01-01 00:00:00,"Luzern","Rheinfelden","","","1","",,,,,,,,,,,,,,,,,
118,"EnC1785","Enderli","Caspar",,"1",1,2,"m","","",1785-01-01 00:00:00,0,"Illnau, von Bisikon",0000-00-00 00:00:00,"","","","unbekannt","1","",,,,,,,,,,,,,,,,,
119,"EnEgR1761","Engel","Regula",,"4",1,4,"f","","",1761-01-01 00:00:00,0,"",1853-01-01 00:00:00,"Zürich, Switzerland","Flutern, Zürich, Switzerland","","Frau Oberst Engel; von Cairo bis Nework.","4","42629184",,,,,,,,,,,,,,,,,
120,"EnJFL1783","Engelhard","Johann Friedrich Ludwig",,"2",1,2,"m","","",1783-01-01 00:00:00,0,"",1862-01-01 00:00:00,"Murten, Switzerland","Zweibrücken, Pfalz","","Erinnerungen aus meinen Feldzügen in Spa","4","D3923",,,,,,,,,,,,,,,,,
121,"ErJH0000","Erni","Johann Heinrich",,"2",1,3,"m","","",0000-00-00 00:00:00,0,"Pfäffikon",0000-00-00 00:00:00,"","","","Gichteler (Neugläubiger), Buchbinder und","2","na",,,,,,,,,,,,,,,,,
122,"ErJU1803","Ernst","Johann Ulrich",,"2",1,2,"m","","",1803-01-01 00:00:00,0,"Veltheim, Winterthur",1846-01-01 00:00:00,"","","","Gichteler (Neugläubiger), publiziert Bri","1","",,,,,,,,,,,,,,,,,
