"id","author_name","author_id","type","genre","published","title","subtitle","publisher","location","description","source","medium","language","format","subject","rights","rights_holder","data_evaluation","authority_record","authority_organization","img","pdf_book","ext_source","field26","archive","field28","created","citation","field29"
23,38,38,2,5,1868-01-01 00:00:00,"Das moderne Völkerrecht der civilisirten Staten als Rechtsbuch dargestellt","","C.H. Beck'schen Buchhandlung","Nördlingen","author: Bluntschli, Johann Casparsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
24,38,38,1,18,1870-01-01 00:00:00,"Die nationale Staatenbildung und der moderne deutsche Staat ","","Lüderitz'sche Verlagsbuchhandlung","Berlin","author: Bluntschli, Johann Casparsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
25,38,38,2,5,1876-01-01 00:00:00,"Lehre vom modernen Staat (Volume 1) ","","J.G. Cotta","","author: Bluntschli, Johann Casparsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
26,38,38,2,5,1877-01-01 00:00:00,"Droit de la guerre et coutume de guerre, à propos des attaques du Colonel von Rustow contre le droit des gens ","","unknown","","author: Bluntschli, Johann Casparsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
27,38,38,2,5,1880-01-01 00:00:00,"Deutsche Statslehre und die heutige Statenwelt; ein Grundriss mit vorzüglicher Rücksicht auf die Verfassung von Deutschland und Oesterreich-Ungarn. 2. umgearb. Aufl. der deutschen Statslehre für Gebildete","","Beck","","author: Bluntschli, Johann Casparsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
28,38,38,2,5,1881-01-01 00:00:00,"Le droit public général","","Guillaumin et cie.","","author: Bluntschli, Johann Casparsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
29,38,38,2,8,1881-01-01 00:00:00,"Geschichte der neueren statswissenschaft ","","R. Oldenbourg","","author: Bluntschli, Johann Casparsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
30,38,38,1,1,1884-01-01 00:00:00,"Denkwürdiges aus meinem leben","","C. H. Beckʾsche Buchhandlung","Nördlingen","author: Bluntschli, Johann Casparsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
31,38,38,2,5,1885-01-01 00:00:00,"Lehre vom modernen Staat (Volume 2) ","","unknown","","author: Bluntschli, Johann Casparsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
32,38,38,2,5,1895-01-01 00:00:00,"The theory of the state ","","Clarendon Press","","author: Bluntschli, Johann Casparsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
33,38,38,1,9,1915-01-01 00:00:00,"Briefwechsel Johann Kaspar Bluntschlis mit Savigny, Niebuhr, Leopold Ranke, Jakob Grimm und Ferdinand Meyer","Hsg. Wilhelm Oesli","","Frauenfeld","author: Bluntschli, Johann Caspar subject: Bluntschli","Aerne, Peter: Pfarrer Bernhard Hirzel, A","",1,"Gedruckte Quellen","",0,"","Self-evaluation","",,,,,,,,,,
34,,,3,8,1958-01-01 00:00:00,"Die Schweizerische Bedeutung von Johann Caspar Bluntschli","Bericht vom außerordentlichen Großlogentag 1958 und vom internationalen Freimaurerkongreß in Wiesbaden 16.-18. Mai 1958, S. 52","Bibliothek des Deutschen Freimaurermuseu",,"author: unbekanntsubject: Bluntschli",,,1,,,,,,,,,,,,,,,,
35,,,3,8,1958-01-01 00:00:00,"Johann Caspar Bluntschli – Der Mann des Rechtes – Der Diener des Staates – Der Bruder","Bericht vom außerordentlichen
Großlogentag 1958 und vom internationalen Freimaurerkongreß in Wiesbaden 16.-18. Mai 1958, S. 43, 47 f.","Bibliothek des Deutschen Freimaurermuseu","","author: Dehler, Thomassubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
36,,,3,1,1958-01-01 00:00:00,"Johann Caspar Bluntschli – Bluntschli und die Einigung","Bericht vom außerordentlichen
Großlogentag 1958 und vom internationalen Freimaurerkongreß in Wiesbaden 16.-18. Mai 1958, S. 55 f.","Bibliothek des Deutschen Freimaurermuseu","","author: Falk, Gottholdsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
37,,,3,8,1980-01-01 00:00:00,"Vortrag des Papstes im Kardinalskollegium über irgendeine wichtige religiöse oder auch politische Frage, der durch Anschlag veröffentlicht wird","Internationales Freimaurerlexikon,
unveränderter Nachdruck der Ausgabe 1932","Wien/München","","author: Lennhof, Eugen; Posner, Oskarsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
38,,,3,1,2003-01-01 00:00:00,"Johann Caspar Bluntschli, Francis Lieber und das moderne Völkerrecht 1861-1881","","Nomos Verlag","Baden-Baden","author: Röben, Bettsysubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
39,,,3,18,2004-01-01 00:00:00,"Die Geschichte der Großloge ""Zur Sonne""","","","","author: Heinold, Dietersubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
40,,,3,8,2010-01-01 00:00:00,"Woodrow Wilson’s Administrative Thought and German Political Theory","","Public Administration Review","","author: Rosser, Christiansubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
41,38,38,2,5,1868-01-01 00:00:00,"Das moderne Völkerrecht","","C.H. Beck'schen Buchhandlung","Nördlingen","author: Bluntschli, Johann Casparsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
42,38,38,2,5,1881-01-01 00:00:00,"Die nationale Staatenbildung und der moderne Deutsche Staat","","Habel","Berlin","author: Bluntschli, Johann Casparsubject: Bluntschli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
43,,,3,8,1993-01-01 00:00:00,"Zürcher Wappenkunde","Das Wichtigste über Familienwappen.4. Auflage","Zürcher Kantonalbank","Zürich","author: Schobinger, Viktorsubject: Bluntschli, Bodmer, Bosshart, Breitinger, Burkhart, Bürkli, Cramer, Escher vom Glas, Escher Luchs, Fäsi, Freitag, Füssli, Gessner, Hess, Hirzel, Keller Steinbock, Landolt, Lavater, Leu, Meiss, Meister, Meyer, Meyer von Knonau, von Orelli, Ott, Rahn, Schulthess, Spöndli, Steiner, Suter, Ulrich, Usteri, Werdmüller, Wyss","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
44,,,3,8,1994-01-01 00:00:00,"Zürcher Landvögte von 1402-1798","","Chronos Verlag","Zürich","author: Dütsch, Hans-Rudolfsubject: Bluntschli, Bodmer, Bosshart, Breitinger, Burkhart, Bürkli, Cramer, Escher vom Glas, Escher Luchs, Fäsi, Freitag, Füssli, Gessner, Hess, Hirzel, Keller Steinbock, Landolt, Lavater, Leu, Meiss, Meister, Meyer, Meyer von Knonau, von Orelli, Ott, Rahn, Schulthess, Spöndli, Steiner, Suter, Ulrich, Usteri, Werdmüller, Wyss","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
45,38,38,2,,1849-01-01 00:00:00,"Geschichte Des Schweizerischen Bundesrechtes : Von Den Ersten Ewigen Bünden Bis Auf Die Gegenwart","","Meyer und Zeller","Zürich","author: Bluntschli, Johann Casparsubject: Bluntschli, Escher, Reinhard, Ott","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
46,38,38,2,,1895-01-01 00:00:00,"Le Droit International Codifié","","Guillaumin et cie","","author: Bluntschli, Johann Casparsubject: Bluntschli, Escher, Reinhard, Ott","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
47,,,3,8,2007-01-01 00:00:00,"Promoting justice, human rights and conflict resolution through International Law","","","","author: Marcelo G. Kohen,Lucius Caflischsubject: Bluntschli, Escher, Reinhard, Ott","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
48,,,3,18,2008-01-01 00:00:00,"Der Ustertag - Über den Anstand in der Politik","Rede gehalten anlässlich der Ustertagsfeier vom 23. November 2008 in der Kirche Uster","","Uster","author: Blocher, Christophsubject: Bluntschli, Escher, Reinhard, Ott","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
49,,,3,1,2006-01-01 00:00:00,"Bodmer und Breitinger im Netzwerk der Europäischen Aufklärung. 09.2006","Internationaler Kongress in der Zentralbibliothek Zürich","","Zürich","author: Mahlmann-Bauer, Barbara; Lütteken, Anettsubject: Bodmer; Breitinger","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
50,,,1,1,1804-01-01 00:00:00,"Heinrich Bosshard, Eines Schweizer Mannes, Lebensgeschichte","","Steiner'sche Buchhandlung","Winterthur","author: Bosshard, Heinrichsubject: Bosshard","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
51,,,1,1,1837-01-01 00:00:00,"Bericht an das englische Parlament über den Handel, Fabriken und Gewerbe der Schweiz","","Orell Füssli und Compagnie","","author: Bowring, Johannsubject: Bowring","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
52,,,2,,1866-01-01 00:00:00,"Eine Kantonalbank, aber keine Herren-, sonder eine Volksbank…, Sturz der Geldaristokratie durch eine Staatsbank ohne Gold- Silbergeld","","Commissionsverlag C. Honegger-Schmid","Zürich","author: Bürkli, Karlsubject: Bürkli","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
53,,,1,1,1848-01-01 00:00:00,"Histoire de la Reévolution","","","","author: Stern, Danielsubject: d'Agoult","Ognois, Laure","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
54,,,2,2,1800-01-01 00:00:00,"Zürcher Zentralbibliothek (ZBB), Handschriftabteilung","Däniker, Johann Caspar, V. [eniendi] D. [eligi] M. [inistri, L.O.] und Mitglied der ascetischen Gesellschaft: Paragraphen der ascetischen Gesellschaft gewidmet, vorgelesen den 4. Juli 1800","","","author: Däniker, Johann Casparsubject: Däniker","Mörgeli, Christoph: Der ""Züriputsch"" aus","",1,"Handschriftliche Quellen","",0,"","Self-evaluation","",,,,,,,,,,
55,,,1,9,1839-01-01 00:00:00,"Staatsarchiv des Kanton Zürichs (StAZ)","M 1b 3: Briefe des Staatsrates des Kantons Waadt an den Regierungsrat des Kantons Zürich vom 12.9. und 17.9.1839 (Baumgartner Anm. 20.S.362)","","","author: subject: Druey","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
56,,,2,,1842-01-01 00:00:00,"Lehrbuch der Taktik","","Orell Füssli","Zürich","author: Dufour, Guillaume-Henrisubject: Dufour","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
57,,,2,,1850-01-01 00:00:00,"De la fortification permanent","","","Paris","author: Dufour, Guillaume-Henrisubject: Dufour","Hauser, Albert: Vom Essen und Trinken im","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
58,,,3,8,1905-01-01 00:00:00,"Huldreich Zwinglis sämtliche Werke","hg. Von Egli, Finsler, Köhler, Blanke, von Muralt u.a. Corpus Reformatorum XC ss","","","author: Egli, Finsler, Köhler, Blanke, von Muralt u.a. (Hsg.)subject: Egli, Finsler, von Muralt","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
59,,,3,2,2003-01-01 00:00:00,"Biographische Daten aus dem Umfeld der Unternehmen: V.S.B., W.H.B, R.H.B.","","","","author: EYE Communications AGsubject: Escher","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
60,,,3,1,2009-01-01 00:00:00,"Alfred Escher. 1819-1882. Aufstieg, Macht, Tragik","","Verlag Neue Zürcher Zeitung","","author: Jung, Josefsubject: Escher","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
61,,,3,1,1852-01-01 00:00:00,"Hans Conrad Escher von der Linth","Charakterbild eines Republikaners","Orell Füssli und Comp.","","author: Hottinger, Johann Jakobsubject: Escher","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
62,,,2,8,1832-01-01 00:00:00,"Schweizerische Annalen oder die Geschichte unserer Tage seit dem Julius 1830 (Volume 1) ","","Orell Füssli","Zürich","author: Müller von Friedberg, Carlsubject: Escher","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
63,,,2,8,1861-01-01 00:00:00,"Geschichte der schweizerischen Eidgenossenschaft","","F. Schulthess","Zürich","author: Vögelin, Johann Konrad; Escher Heinrich subject: Escher","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
64,,,2,,1863-01-01 00:00:00,"Handbuch der praktischen Politik","Erster Band","Verlag von Wilhelm Engelmann","Leibzig","author: Escher, Heinrichsubject: Escher","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
65,129,129,1,17,1866-01-01 00:00:00,"Erinnerungen seit mehr als sechzig Jahren, Bd. 1 und 2",,"Verlag der Schabelitz'schen Buchhandlung","Zürich","author: Escher, Heinrichsubject: Escher",,,1,,,,,,,,,,,,,,,,
66,,,1,1,1867-01-01 00:00:00,"Erinnerungen seit mehr als sechzig Jahren","Band II","","","author: Escher, Heinrichsubject: Escher","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
67,,,2,2,1996-01-01 00:00:00,"Familien Haab, Scheitlin, Bodmer","Familienarchiv 1717 - 1996","","Zürich","author: Stadtarchiv Zürich VII. 277.subject: Escher","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
68,,,2,2,2014-01-01 00:00:00,"Gemeindearchivführer Bezirk Uster","","","","author: Bezirk Ustersubject: Escher","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
69,,,2,2,2008-01-01 00:00:00,"Eine Karte der Zehntbezirke um 1600. Wie sich Fürstbischof und Almosenamt vor 400 Jahren die Steuern teilten. 7/2008","Weiacher Geschichte(n) Streiflichter aus der Vergangenheit unseres Dorfes","","Weiach","author: Brandenberger, Ulrichsubject: Escher","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
70,,,3,8,1999-01-01 00:00:00,"Seide: Stoff für Zürcher Geschichte und Geschichten","Die ""Züri-Reihe"" der Zürcher Kantonalbank","Zürcher Kantonalbank","Zürich","author: subject: Escher, Finsler, Pestalozzi, Muralt, Schwarzenbach","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
71,,,1,18,1839-01-01 00:00:00,"Was frommt dem Vaterlande in diesen Tage","Drei Predigten gehalten im Herbst 1839","David Bürkli","Zürich","author: Fäse, Karl Wilhelmsubject: Fäsi","Ognois, Laure","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
72,,,2,8,1842-01-01 00:00:00,"Schweizerische Analen oder die Geschichte unserer Tage seit dem Julius 1830","Fünften Bandes erster Theil. Mit Rückblicken auf frühere Perioden","","Orell Füssli und Compagnie","author: Friedbergsubject: Friedberg","Mörgeli, Christoph: Der ""Züriputsch"" aus","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
73,,,3,1,2002-01-01 00:00:00,"Preussens Salomon. Herrschaftslegitimation und Herrscherpflichten in Predigten anlässlich der Krönung Friedrichs I","Kunisch, Johannes (Hg.): Dreihundert Jahre Preussische Königskrönung","","Berlin","author: Eibach, Joachimsubject: Friedrich I","","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
74,,,2,2,1839-01-01 00:00:00,"Staatsarchiv des Kanton Zürichs (StAZ)","7.9.1839","","","author: subject: Furrer","Mörgeli, Christoph: Der ""Züriputsch"" aus","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
75,,,3,1,2009-01-01 00:00:00,"Jonas Furre: Aufbruch in die Moderne","Ein fiktives
Interview über seine bewegte
Jugendzeit. 12.2009","WinterThur Scharfsteller","","author: Liebenberg, Marksubject: Furrer","Ognois, Laure","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
76,,,2,14,1839-01-01 00:00:00,"Motion betreffend die Wahl der Professoren der Theologie an der hiesigen Hochschule und die Berufung des Dr. Strauss","vorgetragen im Grossen Rate am 31. Januar 1839","","Zürich","author: Füssli, J.subject: Füssli","Ognois, Laure","",1,"","",0,"","Self-evaluation","",,,,,,,,,,
77,,,2,2,1798-01-01 00:00:00,"Zürcher Zentralbibliothek (ZBB), Handschriftabteilung","Privatbestände Gessner Georg. Gessner, Georg Ms ZV 686 f. Gessner, Georg: Neu-Jahrs-Predigt, Ermunterung zur frohen Hoffnung, Hesajas XXX. 15. den 1. Januar 1798","","","author: Gessner, Georgsubject: Gessner","Ognois, Laure","",1,"Handschriftliche Quellen","",0,"","Self-evaluation","",,,,,,,,,,
78,,,2,2,1798-01-01 00:00:00,"Zürcher Zentralbibliothek (ZBB), Handschriftabteilung","Privatbestände Gessner Georg. Gessner, Georg Ms ZV 686 f. Gessner, Georg: Neu-Jahrs-Predigt, Lukas VIII. 50 den 1. Januar 1798","","","author: Gessner, Georgsubject: Gessner","Ognois, Laure","",1,"Handschriftliche Quellen","",0,"","Self-evaluation","",,,,,,,,,,
79,,,2,2,1798-01-01 00:00:00,"Zürcher Zentralbibliothek (ZBB), Handschriftabteilung","Privatbestände Gessner Georg. Gessner, Georg Ms ZV 686 l. Gessner, Georg: Erste Passions-Predigt, Matthäus XXVI. 1-5, Morgens den 1. Apr. 1798","","","author: Gessner, Georgsubject: Gessner","Ognois, Laure","",1,"Handschriftliche Quellen","",0,"","Self-evaluation","",,,,,,,,,,
80,,,2,2,1799-01-01 00:00:00,"Zürcher Zentralbibliothek (ZBB), Handschriftabteilung","Asc. Ges. B, III. 101. Gessner, Pf[arre, L.O.]r. beym Fraumünster. Kurze Antwort auf die Aufgabe. ""Wie hat, in der izigen Lage, ein Pfarre sich gegen die sogenannten Patrioten zu benehmen, die ihre Unzufriedenheit über die geänderten Umstände nicht verbergen können! Wie gegen sochle, die ihren Unwillen zwar nicht lau äussern, aber ihn doch stillschweigend, namentlich durch Entfernun von der Kirche, und durch Verm eidung allen Umganges mit dem Pfarre, merken lassen. Der asc.[etischen] Gesellschaft vorgelesen, den 18. Juli 1799.","","","author: Gessner, Georgsubject: Gessner","Ognois, Laure","",1,"Handschriftliche Quellen","",0,"","Self-evaluation","",,,,,,,,,,
81,,,2,2,1800-01-01 00:00:00,"Zürcher Zentralbibliothek (ZBB), Handschriftabteilung","Privatbestände Gessner Georg. Gessner, Georg Ms ZV 686 x. Gessner, Georg: Gelegenheitspredigten 9 1800-01. Ernte predigt 1800. Jeremias V. 24. Morgens den 20. Juli 1800 (im Fraumünster Versammlunssaale).","","","author: Gessner, Georgsubject: Gessner","Ognois, Laure","",1,"Handschriftliche Quellen","",0,"","Self-evaluation","",,,,,,,,,,
82,,,2,2,1801-01-01 00:00:00,"Zürcher Zentralbibliothek (ZBB), Handschriftabteilung","Privatbestände Gessner Georg. Gessner, Georg Ms ZV 686 l. Gessner, Georg: Passionspredigten 3. 1798-1801","","","author: Gessner, Georgsubject: Gessner","Ognois, Laure","",1,"Handschriftliche Quellen","",0,"","Self-evaluation","",,,,,,,,,,
83,,,2,2,1801-01-01 00:00:00,"Zürcher Zentralbibliothek (ZBB), Handschriftabteilung","Privatbestände Gessner Georg. Gessner, Georg Ms ZV 686 x. Gessner, Georg: Gelegenheitspredigten 9 1800-01. Christliche Belehrungen mit Hinsicht auf die gegewärtige Lage unsers Vaterlandes, Sprüche Salomons, XIV. 34, 7. 9ten 1801.","","","author: Gessner, Georgsubject: Gessner","Ognois, Laure","",1,"Handschriftliche Quellen","",0,"","Self-evaluation","",,,,,,,,,,
84,,,2,2,1802-01-01 00:00:00,"Zürcher Zentralbibliothek (ZBB), Handschriftabteilung","Privatbestände Gessner Georg. Gessner, Georg Ms ZV 686 y. Gessner, Georg: Gelegenheitspredigten 10. 1802. Ohne Titel, 12. September 1802","","","author: Gessner, Georgsubject: Gessner","Ognois, Laure","",1,"Handschriftliche Quellen","",0,"","Self-evaluation","",,,,,,,,,,
85,,,2,2,1802-01-01 00:00:00,"Zürcher Zentralbibliothek (ZBB), Handschriftabteilung","Privatbestände Gessner Georg. Gessner, Georg Ms ZV 686 y. Gessner, Georg: Gelegenheitspredigten 10. 1802. Warnung vor dem Stolze, beyy der Erfahrun ausgezeichneter Gnaden, Röm. XI. 20, 17. Oct. 1802.","","","author: Gessner, Georgsubject: Gessner","Ognois, Laure","",1,"Handschriftliche Quellen","",0,"","Self-evaluation","",,,,,,,,,,
86,,,2,2,1802-01-01 00:00:00,"Zürcher Zentralbibliothek (ZBB), Handschriftabteilung","Privatbestände Gessner Georg. Gessner, Georg Ms ZV 686 y. Gessner, Georg: Gelegenheitspredigten 10. 1802. Nachtrag zur Bettagsfeyer, Jeremias XXII. 29, 1802","","","author: Gessner, Georgsubject: Gessner","Ognois, Laure","",1,"Handschriftliche Quellen","",0,"","Self-evaluation","",,,,,,,,,,
87,,,2,2,1802-01-01 00:00:00,"Zürcher Zentralbibliothek (ZBB), Handschriftabteilung","Privatbestände Gessner Georg. Gessner, Georg Ms ZV 686 y. Gessner, Georg: Gelegenheitspredigten 10. 1802. Vorbereitung auf Kommunions und Bettagsfeyer, Vom Richten unserer Selbst- 1. Korinth. XI. 31, den 29.ten August 1802","","","author: Gessner, Georgsubject: Gessner","Ognois, Laure","",1,"Handschriftliche Quellen","",0,"","Self-evaluation","",,,,,,,,,,
88,,,2,2,1802-01-01 00:00:00,"Zürcher Zentralbibliothek (ZBB), Handschriftabteilung","Privatbestände Gessner Georg. Gessner, Georg Ms ZV 686 y. Gessner, Georg: Gelegenheitspredigten 10. 1802. Ermunterung zur christlichen Weisheit, vorgetragen nach Verlesung der Promulgation der provisorischen Regierung des Cantons Zürich, Esches. V. 15. Morges den 3.ten Oct. 1802.","","","author: Gessner, Georgsubject: Gessner","Ognois, Laure","",1,"Handschriftliche Quellen","",0,"","Self-evaluation","",,,,,,,,,,
