"id","biography","author_id","author_name","bibliography","transcript","token_sequence","token","story_act","sequence","character","role","storyline_no","parenthetic","storyline_title","storyline","notes","storyweaving_scene_no","storyweaving_scene","storyweaving_sequence","storyweaving_theme","character_scene","character_event","startdate","enddate"
"18","1","1071","1071","222","10","5992","5992","1","18","1","1","18",\N,"She starts in the Gasthof ""zur Ilge"".","She starts in the Gasthof ""zur Ilge"".","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"19","1","1071","1071","222","10","6000","6000","1","19","5","5","19",\N,"The brothers Peyer","The brothers Peyer","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"20","1","1071","1071","222","10","6015","6015","1","20","1","1","20",\N,"Opposition from her futur in-laws","Opposition from her futur in-laws","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"21","1",\N,\N,\N,\N,\N,\N,\N,"21",\N,\N,"21",\N,"Marriage with Heinrich Peyer.","Marriage with Heinrich Peyer.",\N,\N,\N,\N,\N,\N,\N,"1806-07-04 00:00:00",\N
"22","1","1071","1071","222","10",\N,\N,"1","22","8","8","22",\N,"Crisis of the Helvetic Republic","Crisis of the Helvetic Republic","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"23","1",\N,\N,\N,\N,\N,\N,\N,"23",\N,\N,"23",\N,"Congress of Vienna","Congress of Vienna",\N,\N,\N,\N,\N,\N,\N,"1904-12-19 00:00:00",\N
"24","1",\N,\N,\N,\N,\N,\N,\N,"24",\N,\N,"24",\N,"Katharina Peyer-Kaufmann moves with her ","Katharina Peyer-Kaufmann moves with her husband to Willisau.",\N,\N,\N,\N,\N,\N,\N,"1806-10-01 00:00:00",\N
"25","1","1071","1071","222","10","6018","6018","1","25","5","5","25",\N,"Genossenbürger in Willisau","Genossenbürger in Willisau","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"26","1","1071","1071","222","10","6066","6066","2","26","5","5","26",\N,"Heinrich Peyer leaves as a mercenary in ","Heinrich Peyer leaves as a mercenary in service for Napoleon (the unit of Oberst Castella)","<br>",\N,\N,\N,\N,\N,\N,"1809-11-20 00:00:00",\N
"27","1",\N,\N,\N,\N,\N,\N,\N,"27",\N,\N,"27",\N,"Napoleon prepares for War against Russia","Napoleon prepares for War against Russia.",\N,\N,\N,\N,\N,\N,\N,"1899-12-30 00:00:00",\N
"28","1","1071","1071","222","10",\N,\N,"2","28","8","8","28",\N," The ""Grande Armee"""," The ""Grande Armee""","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"29","1",\N,\N,\N,\N,\N,\N,\N,"29",\N,\N,"29",\N,"Katharina leaves for Marsailla where her","Katharina leaves for Marsailla where her husband is positioned. She works as a ""Marketender""",\N,\N,\N,\N,\N,\N,\N,"1904-12-16 00:00:00",\N
"30","1","1071","1071","222","10","6027","6027","2","30","1","1","30",\N," Katharina's adventure"," Katharina's adventure","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"31","1","1071","1071","222","10","6024","6024","2","31","5","5","31",\N," Voyage to Marseille","Katharina payer travels in a post carrier over Bern to Geneva, further to Lyon, Avignon and finally to Marseilla.","<br>",\N,\N,\N,\N,\N,\N,"1810-07-29 00:00:00",\N
"32","1",\N,\N,\N,\N,\N,\N,\N,"32",\N,\N,"32",\N,\N,"Order to march to Toulon.",\N,\N,\N,\N,\N,\N,\N,"1811-06-01 00:00:00",\N
"33","1",\N,\N,\N,\N,\N,\N,\N,"33",\N,\N,"33",\N,\N,"Final order to march.",\N,\N,\N,\N,\N,\N,\N,"1811-10-07 00:00:00",\N
"34","1","1071","1071","222","10",\N,\N,"2","34","8","8","34",\N," Movement of the forces to Paris"," Movement of the forces to Paris","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"35","1","1071","1071","222","10",\N,\N,"2","35","8","8","35",\N," Paris","Parade in Paris before the Majesty.","<br>",\N,\N,\N,\N,\N,\N,"1811-12-26 00:00:00",\N
"36","1",\N,\N,\N,\N,\N,\N,\N,"36",\N,\N,"36",\N,\N,"Katharina sees the Majetisties very close.",\N,\N,\N,\N,\N,\N,\N,"1811-12-07 00:00:00",\N
"37","1",\N,\N,\N,\N,\N,\N,\N,"37",\N,\N,"37",\N,\N,"Audience before the Majesty.",\N,\N,\N,\N,\N,\N,\N,"1812-01-01 00:00:00",\N
"38","1","1071","1071","222","10",\N,\N,"2","38","5","5","38",\N," March to the East (Lüttich) and Heinric","Order to march to Lüttich.","<br>",\N,\N,\N,\N,\N,\N,"1812-01-13 00:00:00",\N
"39","1",\N,\N,\N,\N,\N,\N,\N,"39",\N,\N,"39",\N,\N,"Arrival at Bruxelles.",\N,\N,\N,\N,\N,\N,\N,"1812-01-24 00:00:00",\N
"40","1",\N,\N,\N,\N,\N,\N,\N,"40",\N,\N,"40",\N,\N,"Arrival at Lüttich. Peyer becomes ill.",\N,\N,\N,\N,\N,\N,\N,"1812-01-27 00:00:00",\N
"41","1",\N,\N,\N,\N,\N,\N,\N,"41",\N,\N,"41",\N,\N,"The unit leaves to Aachen.",\N,\N,\N,\N,\N,\N,\N,"1812-03-02 00:00:00",\N
"42","1",\N,\N,\N,\N,\N,\N,\N,"42",\N,\N,"42",\N,\N,"Arrival at Magdeburg.",\N,\N,\N,\N,\N,\N,\N,"1812-03-26 00:00:00",\N
"43","1","1071","1071","222","10",\N,\N,"2","43","8","8","43",\N," Joining of the four Regiments in Stetti","Arrival at Stettin. All four Swiss Units (Regimenter) gather there. Napoleon still in Paris.","<br>",\N,\N,\N,\N,\N,\N,"1812-04-28 00:00:00",\N
"44","1","1071","1071","222","10","6045","6045","2","44","1","1","44",\N," Minette the Swiss Lady's horse (in Mari"," Minette the Swiss Lady's horse (in Marienwerder)","<br>",\N,\N,\N,\N,\N,\N,"1812-06-01 00:00:00",\N
"45","1",\N,\N,\N,\N,\N,\N,\N,"45",\N,\N,"45",\N,\N,"Napeolon units with his Army.",\N,\N,\N,\N,\N,\N,\N,"1812-06-18 00:00:00",\N
"46","1",\N,\N,\N,\N,\N,\N,\N,"46",\N,\N,"46",\N,\N,"Arrival at Niemen.",\N,\N,\N,\N,\N,\N,\N,"1812-06-22 00:00:00",\N
"47","1","1071","1071","222","10",\N,\N,"2","47","1","1","47",\N," March to Polozk"," March to Polozk","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"48","1",\N,\N,\N,\N,\N,\N,\N,"48",\N,\N,"48",\N,\N,"Stay at Polozk.","10","17",\N,"17",\N,\N,\N,"1812-08-15 00:00:00","1812-10-17 00:00:00"
"49","1","1071","1071","222","10",\N,\N,"2","49","1","1","49",\N," The ""Second Polish War"" (Envasion of Ru"," The ""Second Polish War"" (Envasion of Russia)","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"50","1","1071","1071","222","10","5947","5947","2","50","3","3","50",\N," The War","Attack by the Russians.","<br>",\N,\N,\N,\N,\N,\N,"1812-10-17 00:00:00",\N
"51","1",\N,\N,\N,\N,\N,\N,\N,"51",\N,\N,"51",\N,\N,"Battle by Polozk.",\N,\N,\N,\N,\N,\N,\N,"1812-10-18 00:00:00",\N
"52","1",\N,\N,\N,\N,\N,\N,\N,"52",\N,\N,"52",\N,\N,"Second battle by Polozk. The Russians take a bridge. The Swiss have to flee during 22 hours.",\N,\N,\N,\N,\N,\N,\N,"1812-10-19 00:00:00",\N
"53","1","1071","1071","222","10",\N,\N,"2","53","3","3","53",\N," Misery and deprivations","The mercenaries are living without any salary for already 6 months. They run out of food.","<br>",\N,\N,\N,\N,\N,\N,"1812-04-01 00:00:00","1812-10-15 00:00:00"
"54","1",\N,\N,\N,\N,\N,\N,\N,"54",\N,\N,"54",\N,\N,"Katharina writes her sister Anne-Marie.",\N,\N,\N,\N,\N,\N,\N,"1899-12-30 00:00:00",\N
"55","1",\N,\N,\N,\N,\N,\N,\N,"55",\N,\N,"55",\N,\N,"The Napoleonic troups return from Moskow.",\N,\N,\N,\N,\N,\N,\N,"1812-11-25 00:00:00",\N
"56","1","1071","1071","222","10","6083","6083","2","56","8","8","56",\N," Disintegration of the Regiments, keepin"," Disintegration of the Regiments, keeping one's own business","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"57","1","1071","1071","222","10",\N,\N,"2","57","3","3","57",\N," The Beresina (Flight to Switzerland)","The Swiss mercenaries prepare for battle on the street between Barisow and Zumbin. Blattman starts to sing the famous ""Beresinalied"" and is shot soon after.","<br>",\N,\N,\N,\N,\N,\N,"1812-11-28 00:00:00",\N
"58","1",\N,\N,\N,\N,\N,\N,\N,"58",\N,\N,"58",\N,\N,"Peyers unit leaves Königsberg.",\N,\N,\N,\N,\N,\N,\N,"1812-12-15 00:00:00",\N
"59","1",\N,\N,\N,\N,\N,\N,\N,"59",\N,\N,"59",\N,\N,"Arrival at Elbing.",\N,\N,\N,\N,\N,\N,\N,"1812-12-21 00:00:00",\N
"60","1",\N,\N,\N,\N,\N,\N,\N,"60",\N,\N,"60",\N,\N,"The couple Peyer-Kaufmann is ill, in  hospital. The Cosaks are arriving. Katharina organizes a slide and leaves with her husband.",\N,\N,\N,\N,\N,\N,\N,"1812-12-31 00:00:00","1812-01-01 00:00:00"
"61","1",\N,\N,\N,\N,\N,\N,\N,"61",\N,\N,"61",\N,\N,"They manage to get on a carrier.",\N,\N,\N,\N,\N,\N,\N,"1813-01-11 00:00:00",\N
"62","1",\N,\N,\N,\N,\N,\N,\N,"62",\N,\N,"62",\N,\N,"Arrival at Neuenburg. 26 hours travel to Konitz.",\N,\N,\N,\N,\N,\N,\N,"1813-01-12 00:00:00",\N
"63","1",\N,\N,\N,\N,\N,\N,\N,"63",\N,\N,"63",\N,\N,"Arrival at Friedland. They sell a ring and the clarinett for accomodation and food.",\N,\N,\N,\N,\N,\N,\N,"1813-01-16 00:00:00",\N
"64","1",\N,\N,\N,\N,\N,\N,\N,"64",\N,\N,"64",\N,\N,"Arrival at Jastrow.",\N,\N,\N,\N,\N,\N,\N,"1813-01-17 00:00:00",\N
"65","1",\N,\N,\N,\N,\N,\N,\N,"65",\N,\N,"65",\N,\N,"""Neue Truppenaushebung"" in France according NZZ.",\N,\N,\N,\N,\N,\N,\N,"1813-01-22 00:00:00",\N
"66","1",\N,\N,\N,\N,\N,\N,\N,"66",\N,\N,"66",\N,\N,"The fugitives arrive at Berlin.",\N,\N,\N,\N,\N,\N,\N,"1813-01-31 00:00:00",\N
"67","1",\N,\N,\N,\N,\N,\N,\N,"67",\N,\N,"67",\N,\N,"The couple loose their last goods in Magdeburg.",\N,\N,\N,\N,\N,\N,\N,"1813-02-06 00:00:00",\N
"68","1",\N,\N,\N,\N,\N,\N,\N,"68",\N,\N,"68",\N,\N,"March over Halle to Eisenach, Fulda, Frankfurt am Main, Mainz, Worms and Speyer.",\N,\N,\N,\N,\N,\N,\N,"1813-02-08 00:00:00",\N
"69","1",\N,\N,\N,\N,\N,\N,\N,"69",\N,\N,"69",\N,\N,"Arrival at Lautenburg.",\N,\N,\N,\N,\N,\N,\N,"1813-03-01 00:00:00",\N
"70","1",\N,\N,\N,\N,\N,\N,\N,"70",\N,\N,"70",\N,\N,"The NZZ reporst about the Russians occupying Warsaw.",\N,\N,\N,\N,\N,\N,\N,"1813-03-01 00:00:00",\N
"71","1",\N,\N,\N,\N,\N,\N,\N,"71",\N,\N,"71",\N,\N,"The Russians arrive at Berling.",\N,\N,\N,\N,\N,\N,\N,"1813-03-16 00:00:00",\N
"72","1",\N,\N,\N,\N,\N,\N,\N,"72",\N,\N,"72",\N,\N,"The Russians arrive at Berling.",\N,\N,\N,\N,\N,\N,\N,"1813-03-16 00:00:00",\N
"73","1",\N,\N,\N,\N,\N,\N,\N,"73",\N,\N,"73",\N,\N,"French ""Generalquartier zu Leipzig""",\N,\N,\N,\N,\N,\N,\N,"1813-03-23 00:00:00",\N
"74","1",\N,\N,\N,\N,\N,\N,\N,"74",\N,\N,"74",\N,\N,"The French march over the Rhin to Germany.",\N,\N,\N,\N,\N,\N,\N,"1813-03-30 00:00:00",\N
"75","1",\N,\N,\N,\N,\N,\N,\N,"75",\N,\N,"75",\N,\N,"The French and the Prussians are meeting at the Elbe.",\N,\N,\N,\N,\N,\N,\N,"1813-04-06 00:00:00",\N
"76","1",\N,\N,\N,\N,\N,\N,\N,"76",\N,\N,"76",\N,\N,"Russian troups arrive at Leipzig.",\N,\N,\N,\N,\N,\N,\N,"1813-04-16 00:00:00",\N
"77","1",\N,\N,\N,\N,\N,\N,\N,"77",\N,\N,"77",\N,\N,"Main quarter of Napleon at Querstädt on the road to Leipzig.",\N,\N,\N,\N,\N,\N,\N,"1813-05-07 00:00:00",\N
"78","1",\N,\N,\N,\N,\N,\N,\N,"78",\N,\N,"78",\N,\N,"Heinrich and Katharina leave Lautenburg.",\N,\N,\N,\N,\N,\N,\N,"1813-05-10 00:00:00",\N
"79","1",\N,\N,\N,\N,\N,\N,\N,"79",\N,\N,"79",\N,\N,"Arrival at Basel.",\N,\N,\N,\N,\N,\N,\N,"1813-05-15 00:00:00",\N
"80","1","1071","1071","222","10",\N,\N,"2","80","3","3","80",\N," Survivors"," Survivors","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"81","1","1071","1071","222","10",\N,\N,"2","81","3","3","81",\N," Typhus & Dispair"," Typhus & Dispair","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"82","1","1071","1071","222","10",\N,\N,"3","82","1","1","82",\N," End of War"," End of War","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"83","1","1071","1071","222","10",\N,\N,"3","83","1","1","83",\N," Berlin"," Berlin","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"84","1","1071","1071","222","10",\N,\N,"3","84","9","9","84",\N," Frau von Abyberg"," Frau von Abyberg","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"85","1","1071","1071","222","10",\N,\N,"3","85","5","5","85",\N," A passport for Heinrich"," A passport for Heinrich","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"86","1","1071","1071","222","10",\N,\N,"3","86","7","7","86",\N," Home"," Home","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"87","1","1071","1071","222","10","5960","5960","3","87","1","1","87",\N," Sister Anne-Marie"," Sister Anne-Marie","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"88","1","1071","1071","222","10","6213","6213","3","88","1","1","88",\N," War-News or War Stories"," War-News or War Stories","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"89","1",\N,\N,\N,\N,\N,\N,\N,"89",\N,\N,\N,\N,\N,"Ceasefire agreed on on June 4 is closed. The French troups march to Hamburg on May 30th.",\N,\N,\N,\N,\N,\N,\N,"1813-06-15 00:00:00",\N
"90","1",\N,\N,\N,\N,\N,\N,\N,"90",\N,\N,\N,\N,\N,"Alliance between England and Sweden.",\N,\N,\N,\N,\N,\N,\N,"1813-07-13 00:00:00",\N
"91","1",\N,\N,\N,\N,\N,\N,\N,"91",\N,\N,\N,\N,\N,"The opening of a Peace Congress in Prag is close.",\N,\N,\N,\N,\N,\N,\N,"1813-07-16 00:00:00",\N
"92","1",\N,\N,\N,\N,\N,\N,\N,"92",\N,\N,\N,\N,\N,"Terrible war armament at all sides.",\N,\N,\N,\N,\N,\N,\N,"1813-08-10 00:00:00",\N
"93","1",\N,\N,\N,\N,\N,\N,\N,"93",\N,\N,\N,\N,\N,"Entrenchment works at Vienna.",\N,\N,\N,\N,\N,\N,\N,"1813-08-20 00:00:00",\N
"94","1",\N,\N,\N,\N,\N,\N,\N,"94",\N,\N,\N,\N,\N,"First official news about the end of ceasefire and Austria's war declaration to France.",\N,\N,\N,\N,\N,\N,\N,"1813-08-27 00:00:00",\N
"95","1",\N,\N,\N,\N,\N,\N,\N,"95",\N,\N,\N,\N,\N,"War from the Adratic Sea to the Baltic Sea.",\N,\N,\N,\N,\N,\N,\N,"1813-09-10 00:00:00",\N
"96","1",\N,\N,\N,\N,\N,\N,\N,"96",\N,\N,\N,\N,\N,"Start of the French main quarter. Blücher crosses the Elbe. The allies advance in Saxon.",\N,\N,\N,\N,\N,\N,\N,"1813-10-22 00:00:00",\N
"97","1",\N,\N,\N,\N,\N,\N,\N,"97",\N,\N,\N,\N,\N,"Rumours about the occupation of Leipzig by Allies.",\N,\N,\N,\N,\N,\N,\N,"1813-10-26 00:00:00",\N
"98","1",\N,\N,\N,\N,\N,\N,\N,"98",\N,\N,\N,\N,\N,"The four main armies of the four monarchies come closer.",\N,\N,\N,\N,\N,\N,\N,"1813-10-29 00:00:00",\N
"99","1",\N,\N,\N,\N,\N,\N,\N,"99",\N,\N,\N,\N,\N,"The allies advance at all points.",\N,\N,\N,\N,\N,\N,\N,"1813-11-02 00:00:00",\N
"100","1",\N,\N,\N,\N,\N,\N,\N,"100",\N,\N,\N,\N,\N,"Napoleon arrives at Main, the Russians and the Prussians at Frankfurt. In Switzerland: The Ticino is cleaned up by French troups.",\N,\N,\N,\N,\N,\N,\N,"1813-11-12 00:00:00",\N
"101","1",\N,\N,\N,\N,\N,\N,\N,"101",\N,\N,\N,\N,\N,"French military summons of 300.000 men. Marburg, Düsseldorf and Hanover occupied by the Allies.",\N,\N,\N,\N,\N,\N,\N,"1813-11-26 00:00:00",\N
"102","1","1071","1071","222","10",\N,\N,"3","102","8","8",\N,\N," Upheaval in Europe and home for Kathari","Rumours about proclamations to the inhabitants of the left Rhine river.","<br>",\N,\N,\N,\N,\N,\N,"1813-12-10 00:00:00",\N
"103","1",\N,\N,\N,\N,\N,\N,\N,"103",\N,\N,\N,\N,\N,"The Allies advance in Holland. Some private letters inform about the occupation of Colon.",\N,\N,\N,\N,\N,\N,\N,"1813-12-17 00:00:00",\N
"104","1",\N,\N,\N,\N,\N,\N,\N,"104",\N,\N,\N,\N,\N,"The Allies cross the Rhine on French territory.",\N,\N,\N,\N,\N,\N,\N,"1813-12-24 00:00:00",\N
"105","1",\N,\N,\N,\N,\N,\N,\N,"105",\N,\N,\N,\N,\N,"Advancements of the Allies in France.",\N,\N,\N,\N,\N,\N,\N,"1814-01-25 00:00:00",\N
"106","1",\N,\N,\N,\N,\N,\N,\N,"106",\N,\N,\N,\N,\N,"Brand of Moskow.",\N,\N,\N,\N,\N,\N,\N,"1813-09-15 00:00:00",\N
"107","1",\N,\N,\N,\N,\N,\N,\N,"107",\N,\N,\N,\N,\N,"Nachrichtenbulletin: ""Die Einwohner sind über die seit 20 Tagen herrschende Witterung sehr verwunder. Die Armee befindet sich in einem sehr reichen Land, das mit den besten Gegenden Deutschlands und Frankreichs zu vergleichen ist.""",\N,\N,\N,\N,\N,\N,\N,"1812-10-23 00:00:00",\N
"108","1",\N,\N,\N,\N,\N,\N,\N,"108",\N,\N,\N,\N,\N,"Nachrichtenbulletin: ""Napoleon erlitt mehr Niederlagen als Siege"".",\N,\N,\N,\N,\N,\N,\N,"1812-12-25 00:00:00",\N
"109","1","1071","1071","222","10",\N,\N,"3","109","5","5",\N,\N," Military carrier in the Netherlands"," Military carrier in the Netherlands","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"110","1",\N,\N,\N,\N,\N,\N,\N,"110",\N,\N,\N,\N,\N,"Katharina leaves to join Heinrich.",\N,\N,\N,\N,\N,\N,\N,"1813-12-24 00:00:00",\N
"111","1",\N,\N,\N,\N,\N,\N,\N,"111",\N,\N,\N,\N,\N,"Arrival at Maastrich.",\N,\N,\N,\N,\N,\N,\N,"1813-05-01 00:00:00",\N
"112","1",\N,\N,\N,\N,\N,\N,\N,"112",\N,\N,\N,\N,\N,"Katharina and Heinrich move to the fortification Bergen op Zoom. Katharina runs the ""Haus Peyer"".",\N,\N,\N,\N,\N,\N,\N,"1813-11-01 00:00:00",\N
"113","1",\N,\N,\N,\N,\N,\N,\N,"113",\N,\N,\N,\N,\N,"Transfer to Antwerpen. Katharina rents a small apartement.",\N,\N,\N,\N,\N,\N,\N,"1815-11-01 00:00:00",\N
"114","1","1071","1071","222","10",\N,\N,"3","114","1","1",\N,\N," Katharina's ship","Order to transfert to Gorum. Katharina hires a ship and manages the logistics.","<br>",\N,\N,\N,\N,\N,\N,"1817-06-01 00:00:00",\N
"115","1","1071","1071","222","10",\N,\N,"3","115","1","1",\N,\N," Gorum","Arrival at Gorum.","<br>",\N,\N,\N,\N,\N,\N,"1821-01-01 00:00:00",\N
"116","1","1071","1071","222","10","6043","6043","3","116","5","5",\N,\N," Release from office","Dismissing from service. They can now return to Switzerland.","<br>",\N,\N,\N,\N,\N,\N,"1899-12-30 00:00:00",\N
"117","1","1071","1071","222","10","6226","6226","3","117","1","1",\N,\N," Pension Morel","21-days-travel to Switzerland in horse carrier through Aachen, Lüttich, Köln, Koblenz, Speyer, Salzbach, Freiburg, Basel, Zofingen, to Willisau.","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"118","1","1071","1071","222","10","6091","6091","3","118","5","5",\N,\N," Heinrich ill"," Heinrich ill","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"119","1","1071","1071","222","10",\N,\N,"3","119","7","7",\N,\N," Mothering duties (Katharina Peyer)","Heinrich's sister dies and leaves her daughter with Katharina and Heinrich.","<br>",\N,\N,\N,\N,\N,\N,"1899-12-30 00:00:00",\N
"120","1","1071","1071","222","10","6059","6059","3","120","1","1",\N,\N," Inn ""Zum Rössli""","Katharina and Heinrich leave the ""Rössli"" and start the ""Bad Rothen"" in Littau during two years.","<br>",\N,\N,\N,\N,\N,\N,"1904-12-29 00:00:00",\N
"121","1",\N,\N,\N,\N,\N,\N,\N,"121",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"122","1",\N,\N,\N,\N,\N,\N,\N,"122",\N,\N,\N,\N,\N,"Katharina lease the Inn ""Engel"" in Luzern.",\N,\N,\N,\N,\N,\N,\N,"1904-12-31 00:00:00",\N
"123","1",\N,\N,\N,\N,\N,\N,\N,"123",\N,\N,\N,\N,\N,"Katharina leaves the ""Engel"" and receives a ""Silver Spoon"" from the ""Trockenbund"".",\N,\N,\N,\N,\N,\N,\N,"1837-10-10 00:00:00",\N
"124","1","1071","1071","222","10","6088","6088","3","124","1","1",\N,\N,"Bad Rothen"" (Tourism)   
383 3 3        ","Katharina leaves the ""Engel"" and receives a ""Silver Spoon"" from the ""Trockenbund"".","<br>",\N,\N,\N,\N,\N,\N,"1837-10-10 00:00:00",\N
"125","1",\N,\N,\N,\N,\N,\N,\N,"125",\N,\N,\N,\N,\N,"Foundation of the ""Trockenbund""",\N,\N,\N,\N,\N,\N,\N,"1904-12-09 00:00:00",\N
"126","1","1071","1071","222","10","6110","6110","3","126","3","3",\N,\N," Brand of Luzern","Fire in Luzern (""Luzerner Stadtbrand"")","<br>",\N,\N,\N,\N,\N,\N,"1833-06-12 00:00:00","1833-06-13 00:00:00"
"127","1",\N,\N,\N,\N,\N,\N,\N,"127",\N,\N,\N,\N,\N,"Church mass: thanksgiving for the protection during the fire in.",\N,\N,\N,\N,\N,\N,\N,"1833-06-23 00:00:00",\N
"128","1","1071","1071","222","10",\N,\N,"3","128","5","5",\N,\N," Heinrich's death","Carnival. Heinrich Peyer lies already a while ill in bed and dies that day from lung hemorrhage, in presence of Katharina.","<br>",\N,\N,\N,\N,\N,\N,"1837-02-13 00:00:00",\N
"129","1","1071","1071","222","10",\N,\N,"3","129","3","3",\N,\N," The Widow"," The Widow","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"130","1","1071","1071","222","10","6111","6111","3","130","2","2",\N,\N," Josef Morel","Katharina marries the ten years younger Josef Morel.","<br>",\N,\N,\N,\N,\N,\N,"1838-01-01 00:00:00",\N
