"id","user_id","memberID","img","groupID","selection_class","agenttype1","agenttype2","gender","last_name","first_name","other_name","birthday","birth_location","birth_location_map","deathday","death_location","workplace","knows","shortbio","data_evaluation","viaf_no","authority_record","authority_organization"
"11",\N,"AnMF1817",\N,\N,"3","1","5","2","Anneke","(Mathilde) Franziska",\N,"1817-01-01 00:00:00",\N,\N,"1884-01-01 00:00:00","Milwaukee","Hiddinghausen",\N,"DE-USA – Catholic, Bürgerstochter – for the abolition of slavery and women’s rights – historiography Mutterland: Memoiren einer Frau aus dem badisch-pfälzischen Feldzuge (Anneke, 1982) – Politikverbot in Germany until 1908 (Gélieu, 2008)- Der politische Tendenz-Prozeß gegen Gottschalk, Anneke und Esser (Anneke, 1848) – first German women’s News Paper (Frauenzeitung), only 2 exemplary published (Henkel & Taubert, 1976)","2",\N,"na","0"
"12",\N,"ArFM1694",\N,\N,"2","1","5","1","Arouet ","François Marie ","Voltaire","1694-01-01 00:00:00",\N,\N,"1778-01-01 00:00:00","France","France",\N,"known as Voltaire Essai sur les mœurs(1756)  – French universal history - Essai sur les mœurs et l‘ésprit des nations – critical historiography","1",\N,\N,\N
"13",\N,"AsL1814",\N,\N,"3","1","5","2","Aston","Louise",\N,"1814-01-01 00:00:00",\N,\N,"1871-01-01 00:00:00","na","na",\N,"DE – “She served in the Freikorps in Schleswig during the war.” (Wikipedia) – a justification in the style of the Zurich men (Luise Aston, 1846) – historiography of the revolution (novel) (Luise Aston, 1849) – history in literary genre (Louise Aston, 1847, 1850)","2",\N,"na","0"
"14",\N,"BaNF1740",\N,\N,"2","1","2","1","Bachmann","Niklaus Franz, von",\N,"1740-01-01 00:00:00",\N,\N,"1831-01-01 00:00:00",\N,\N,\N,"General, Eidgenössischer Oberbefehlshaber im Feldzug von 1815","4",\N,"10671131","0"
"15",\N,"BaFU1689",\N,\N,"4","1","4","1","Balthasar","Franz Urs, von",\N,"1689-01-01 00:00:00","Luzern",\N,"1763-01-01 00:00:00",\N,\N,\N,"Historiker (für Objektivität), für Bildung des Volkes,","1",\N,\N,\N
"16",\N,"BaS1751",\N,\N,"3","1","5","2","Bandemer","Susanne, von",\N,"1751-01-01 00:00:00",\N,\N,"1828-01-01 00:00:00","na","na",\N,"(French) revolution as self-preservation in Schreiben einer Mutter über die Revolution in Frankreich (von Bademer, 1791, 1821) in (Vahsen, 2000) (p.49)","2",\N,"na","0"
"17",\N,"BaeH1814",\N,\N,"1","1","2","1","Bär","Heinrich",\N,"1814-01-01 00:00:00","Weisslingen",\N,\N,\N,\N,\N,"hilft Eltern auf dem Heimwesen","1",\N,\N,\N
"18",\N,"BaC1812",\N,\N,"2","1","2","1","Battaglini","Carlo",\N,"1812-01-01 00:00:00",\N,\N,\N,\N,\N,\N,\N,"1",\N,\N,\N
"19",\N,"BaGJ1797",\N,\N,"2","1","2","1","Baumgartner","Gallus Jakob",\N,"1797-01-01 00:00:00","Altstätten",\N,"1869-01-01 00:00:00","St. Gallen","Altstätten",\N,"Revolutionsführer in St. Gallen","1",\N,\N,\N
"20",\N,"BeH1783",\N,\N,"2","1","2","2","Beauharnais","Hortense, de",\N,"1783-01-01 00:00:00","Aarburg, Thurgau",\N,"1837-01-01 00:00:00","Arenenberg, Thurgau, Switzerland","Paris, France",\N,"Politischer Flüchtling aus Frankreich in Aarburg, Schwägerin Napoleons","2",\N,"na","0"
"21",\N,"BeMxxxx",\N,\N,"3","1","5","1","Beck","Marcel",\N,\N,\N,\N,\N,\N,\N,\N,"“Entlarvung der Gründungsgeschichte der schweizerischen Eidgenossenschaft als Mythos des 19. Jahrhunderts” (Brändli, 2004)","1",\N,\N,\N
"22",\N,"BeL1851§",\N,\N,"2","1","2","1","Begos","L.",\N,\N,\N,\N,\N,\N,\N,\N,"Lieutenant-Colonel Louis Begos ancien capitaine-adjudant-major au deuxième régiment suisse au service de France","2",\N,"na","0"
"23",\N,"BeKAA1807",\N,\N,"2","1","2","1","Benary","Karl Albert Agathon",\N,"1807-01-01 00:00:00",\N,\N,"1861-01-01 00:00:00",\N,\N,\N,"Professor Sprache","1",\N,\N,\N
"24",\N,"BeDFA1755",\N,\N,"3","1","5","2","Berlepsch","Dorothea Friderika Aemilia, von",\N,"1755-01-01 00:00:00",\N,\N,"1830-01-01 00:00:00","na","na",\N,"actually Dorothea Friderika Aemilia von Berlepsch (1755-1830) -  (1799) – the revolution of Switzerland not “ewigen Gesetzen treu” in (Epple, 2003) (p. 196) writes about „ ‚ganz auf natürliche[n] Grundsätze ruhende [...] Verfassung‘ der Schweizer Gesellschaft“ (Berlepsch, 1799; Berlepsch & Pan, 1799) in (Epple, 2003) (p. 196)  - „von einzelnen Machthabern verführtes Volk“ in (Vahsen, 2000)","2",\N,"na","0"
"25",\N,"BeEE1768",\N,\N,"3","1","5","2","Bernhardi","Elisabeth Eleonore","Philogyn","1768-01-01 00:00:00",\N,\N,"1849-01-01 00:00:00","Freiberg","Freiberg",\N,\N,"2",\N,"na","0"
"26",\N,"Be833*",\N,\N,"2","1","5","2","Berta",\N,\N,\N,\N,\N,\N,"Zürich, Switzerland","Zürich, Switzerland",\N,"Princess Abbess of the Imperial Abbey of Fraumünster (Zürich)","4",\N,"81099071","0"
"27",\N,"BeA1753",\N,\N,"2","1","3","1","Berthier","Louis Alexandre",\N,"1753-01-01 00:00:00","Neuchatel",\N,"1815-01-01 00:00:00","Bamberg","Versailles",\N,"Napoleons Marchall in Neuenburg von 1806-1814","1",\N,\N,\N
"28",\N,"BiAE1819",\N,\N,"2","1","2","1","Biedermann","Alois Emanuel",\N,"1819-01-01 00:00:00",\N,\N,"1885-01-01 00:00:00",\N,\N,\N,"Sohn des Stadtrat Winterthur (1931)","1",\N,\N,\N
"29",\N,"BiE1779",\N,\N,"2","1","3","1","Biedermann","Emanuel",\N,"1779-01-01 00:00:00","Winterthur",\N,"1836-01-01 00:00:00",\N,\N,\N,"Stadrat Winterthur (1931)","1",\N,\N,\N
"30",\N,"BlHWxxxx",\N,\N,"3","1","5","1","Blanke","Horst Walter",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N,\N,\N
"31",\N,"BlJ1799",\N,\N,"1","1","2","1","Bleuler","Jakob",\N,"1799-01-01 00:00:00","Zollikon",\N,"1839-01-01 00:00:00",\N,\N,\N,"Taglöhner in Zürich","1",\N,\N,\N
"32",\N,"BlS1829",\N,\N,"2","1","2","1","Bleuler","Salomon",\N,"1829-01-01 00:00:00",\N,\N,"1886-01-01 00:00:00","Winterthur, Switzerland","Zürich, Switzerland",\N,\N,"4",\N,"62765296","0"
"33",\N,"BlWaH1869",\N,\N,"2","1","2","2","Bleuler-Waser","Hedwig",\N,"1869-01-01 00:00:00",\N,\N,"1940-01-01 00:00:00","Zollikon","Zürich",\N,\N,"2",\N,"na","0"
"34",\N,"BlMLB1886",\N,\N,"4","1","4","1","Bloch","Marc Léopold Benjamin",\N,"1886-01-01 00:00:00",\N,\N,"1944-01-01 00:00:00",\N,\N,\N,"Historiker der Annales school","1",\N,\N,\N
"35",\N,"BlBoR1880",\N,\N,"2","1","3","2","Bloch-Bollarg","Rosa",\N,"1880-01-01 00:00:00",\N,\N,"1922-01-01 00:00:00","Zürich","Zürich",\N,\N,"2",\N,"na","0"
"36",\N,"BlR1807",\N,\N,"2","1","1","1","Blum","Robert   ",\N,"1807-01-01 00:00:00",\N,\N,"1848-01-01 00:00:00","Vienna, Austria","Cologne, Germany",\N,"German democratic politician, publicist, pot, publisher, revolutionist and member of the National Aseembly of 1848.","1",\N,\N,\N
"37",\N,"BlHH1656",\N,\N,"3","1","5","1","Bluntschli","Hans Heinrich",\N,"1656-01-01 00:00:00",\N,\N,"1722-01-01 00:00:00",\N,\N,\N,"in «Memorabilia Tigurina» (1704)  extendes origin of Zurich to times of Abraham (2000 b. Chr.) 1200 years before Rome and founded (refounded) by prominent figures like Cesar and Charlmagne","1",\N,\N,\N
"38",\N,"BlJC1808",\N,\N,"1","1","1","1","Bluntschli","Johan Caspar ",\N,"1808-01-01 00:00:00","Zürich/Karlsruhe",\N,"1881-01-01 00:00:00","Karlsruhe","Zürich, Switzerland",\N,"Dr. jur. Rechtswissenschaftler und Politiker","4",\N,"14836641","0"
"39",\N,"BoJJ1698",\N,\N,"3","1","5","1","Bodmer","Johann Jakob",\N,"1698-01-01 00:00:00","Critische Betrachtungen (1741) – CH –current critic of Bodmers „chronicle tradition“ Gustav Tobler. JJ Bodmer als Geschichtsschreiber in (Zimmer, 2003) (p. 45)",\N,"1783-01-01 00:00:00",\N,\N,\N,"Sprachwissenschafter, gehörte zu den Patrioten","1",\N,\N,\N
"40",\N,"BoK1809",\N,\N,"2","1","2","1","Bodmer","Karl",\N,"1809-01-01 00:00:00",\N,\N,"1893-01-01 00:00:00","Paris","Zürich",\N,\N,"1",\N,\N,\N
"41",\N,"Bo0000",\N,\N,"2","1","6","1","Bodrik","na",\N,\N,\N,\N,\N,\N,\N,\N,"Professor italienischer Literatur in Zürich","1",\N,\N,\N
"42",\N,"BoeL1858",\N,\N,"4","1","4","2","Bögli","Lina",\N,"1858-01-01 00:00:00",\N,\N,"1941-01-01 00:00:00",\N,\N,\N,"Biographer","1",\N,\N,\N
"43",\N,"BoC1809",\N,\N,"1","1","2","1","Boller","Conrad",\N,"1809-01-01 00:00:00","Pfäffikon",\N,\N,\N,\N,\N,"hilft Vater auf Heimwesen","1",\N,\N,\N
"44",\N,"BoNF1811",\N,\N,"2","1","2","1","Bonaparte","Napoleon Franz","Napoleon Franz Bonaparte; König von Rom","1811-01-01 00:00:00",\N,\N,"1832-01-01 00:00:00",\N,\N,\N,\N,"1",\N,\N,\N
"45",\N,"BoSJ1732",\N,\N,"4","1","4","2","Bondeli","(Suzanne) Julie",\N,"1732-01-01 00:00:00",\N,\N,"1778-01-01 00:00:00","Neuchâtel, Switzerland","Bern, Switzerland",\N,\N,"4",\N,"67259373","0"
"46",\N,"BoE1898",\N,\N,"3","1","5","1","Bonjour","Edgar",\N,"1898-01-01 00:00:00",\N,\N,"1991-01-01 00:00:00",\N,\N,\N,"definition and defens of the Swiss “Sonderposition”, Swiss neutrality, “minimizes the signification of the French revolution” – democratic values as already existing in the Confederation (Universität Basel, 2010) (Zur Herleitung des Monumentalwerkes der 1960er und 1970er Jahre aus den Anfängen von 1943 vgl. Georg Kreis: Die Geschichte des Bonjour-Berichts. Und ein Rückblick auf dreissig Jahre Geschichtsschreibung zur Schweiz im Zweiten Weltkrieg. In: NZ am Wochenende vom 5. Juni 1976.)","1",\N,\N,\N
"47",\N,"BoKV1745",\N,\N,"1","1","3","1","Bonstetten","Karl Viktor, von",\N,"1745-01-01 00:00:00","Bern/Genf",\N,"1832-01-01 00:00:00",\N,\N,\N,"Schriftsteller","1",\N,\N,\N
"48",\N,"BoF1791",\N,\N,"2","1","2","1","Bopp","Franz",\N,"1791-01-01 00:00:00",\N,\N,"1867-01-01 00:00:00",\N,\N,\N,"Professor Sanskrit","1",\N,\N,\N
"49",\N,"Borel0000",\N,\N,"2","1","6","1","Borel","???",\N,\N,"Neuchatel",\N,\N,\N,\N,\N,"Pfarrer (Ministre) im Welschland, verheiratet mit einer Meuron","1",\N,\N,\N
"50",\N,"BoE1835",\N,\N,"2","1","2","1","Borel","Eugène",\N,"1835-01-01 00:00:00",\N,\N,"1892-01-01 00:00:00","Bern","Neuchatel",\N,\N,"1",\N,\N,\N
"51",\N,"BoT1799",\N,\N,"2","1","2","1","Bornhauser","Thomas",\N,"1799-01-01 00:00:00","Weinfelden",\N,"1856-01-01 00:00:00","Müllheim","Weinfelden",\N,"Revolutionsführer","1",\N,\N,\N
"52",\N,"BoHJ1784",\N,\N,"1","1","2","1","Bosshard","Hans Jakob",\N,"1784-01-01 00:00:00","Hittnau/Zürich",\N,"1839-01-01 00:00:00",\N,\N,\N,"arm","1",\N,\N,\N
"53",\N,"BoJ1820",\N,\N,"1","1","2","1","Bosshard","Johannes",\N,"1820-01-01 00:00:00","Wila",\N,\N,\N,\N,\N,"unbekannt","1",\N,\N,\N
"54",\N,"BoJB1627",\N,\N,"2","1","5","1","Bossuet ","Jacques Bénigne ",\N,"1627-01-01 00:00:00",\N,\N,"1704-01-01 00:00:00","France","France",\N,"(1681) Discours sur l‘histoire universelle  – theological universal history","1",\N,\N,\N
"55",\N,"Boyve1731",\N,\N,"2","1","5","1","Boyve","Jérome-Emmanuel",\N,"1731-01-01 00:00:00","Neuchatel",\N,"1810-01-01 00:00:00","Neuchatel","Neuchatel",\N,"Chancilier in Neuchatel","1",\N,\N,\N
"56",\N,"Brähm0000",\N,\N,"2","1","6","1","Brähm","???",\N,\N,"Meilen",\N,\N,\N,\N,\N,"Lehrer von Heinrich Escher","1",\N,\N,\N
"57",\N,"BrEhM1755",\N,\N,"3","1","5","2","Brentano-Ehrmann","Marianne",\N,"1755-01-01 00:00:00",\N,\N,"1795-01-01 00:00:00","na","na",\N,"also Marianne Ehrmann (1755-1795) (CH) – actress – editor - Philosophie eines Weibes: Von einer Beobachterin im Jahre 1784 (Ehrmann, 1784) - Amalie. Eine wahre Geschichte in Briefen (Ehrmann, 1788) – overlapping between historiography and belletristic especially in the genre of epistolary novels – writes with her husband the Wochenschrift for the Beobachter","2",\N,"na","0"
"58",\N,"BrFSC1765",\N,\N,"3","1","5","2","Brun ","Friederike Sophie Christiane",\N,"1765-01-01 00:00:00",\N,\N,"1835-01-01 00:00:00","Kopenhagen","Gräfentonna",\N,\N,"2",\N,"na","0"
"59",\N,"HaS1805",\N,\N,"5","1","2","2","Hatzfeld","Sophie, Gräfin von",\N,"1805-01-01 00:00:00",\N,\N,"1881-01-01 00:00:00","Wiesbaden","Trachenberg",\N,"German socialist and partner of Ferdinand Lasalle","4",\N,"54940048","0"
"60",\N,"LaLxxxx",\N,\N,"5","1","2","2","Lasalle","Lisbeth",\N,\N,\N,\N,\N,\N,\N,\N,"Daughter of Ferdinand Lasalle","1",\N,\N,\N
"61",\N,"AsL1821",\N,\N,"5","1","2","2","Assing","Rosa Ludmilla","pseudonyms: Achim Lothar, Talora","1821-01-01 00:00:00",\N,\N,"1880-01-01 00:00:00","Florence","Hamburg",\N,"Jewish-German writer","4",\N,"100384493","0"
"62",\N,"Brunner0000",\N,\N,"2","1","6","1","Brunner","???",\N,\N,\N,\N,\N,\N,\N,\N,"Oberstleutnant","1",\N,\N,\N
"63",\N,"BueG1813",\N,\N,"2","1","2","1","Büchner","Georg",\N,"1813-01-01 00:00:00","Hessen",\N,"1837-01-01 00:00:00","Zürich, Switzerland","Riedstadt, Grand Duchy of Hesse",\N,"Ausländischer Revolutionär an der Uni Zürich","1",\N,\N,\N
"64",\N,"BueG0000",\N,\N,"2","1","3","1","Büchner","Georg",\N,\N,\N,\N,\N,\N,\N,\N,"1834 versuchter Selbstmord in Zürich","1",\N,\N,\N
"65",\N,"Bu1746§",\N,\N,"3","1","5","1","Buffon",\N,\N,\N,\N,\N,\N,\N,\N,\N,"wrote (1746) histoire naturelle (and others) include nature in universal history – mountains in Swiss identity!","1",\N,\N,\N
"66",\N,"Bullinger1504",\N,\N,"3","1","5","1","Bullinger","Heinrich",\N,"1504-01-01 00:00:00",\N,\N,"1575-01-01 00:00:00","Zürich, Switzerland","Bremgarten, Switzerland",\N,"Theologieprofessorm später Pfarrer in Erlibach","1",\N,\N,\N
"67",\N,"BuJC1818",\N,\N,"1","1","5","1","Burckhardt ","Jakob Christoph",\N,"1818-01-01 00:00:00","Basel",\N,"1897-01-01 00:00:00",\N,\N,\N,"Kultur- und Kunsthistoriker. ","1",\N,\N,\N
"68",\N,"BueMCE1760",\N,\N,"3","1","5","2","Bürger","Marie Christiane Elisabeth","Elise Bürger","1760-01-01 00:00:00",\N,\N,"1833-01-01 00:00:00","Frankfurt am Main","Stuttgart",\N,\N,"2",\N,"na","0"
"69",\N,"Bürgi1801",\N,\N,"2","1","2","1","Bürgi","David",\N,"1801-01-01 00:00:00",\N,\N,"1874-01-01 00:00:00","Fluntern","Bäretschweil",\N,\N,"4",\N,"103131442","0"
"70",\N,"BuCJC1818",\N,\N,"2","1","2","1","Burkhardt","Carl Jacob Christoph",\N,"1818-01-01 00:00:00","Basel",\N,"1897-01-01 00:00:00","Basel, Switzerland","Basel, Switzerland",\N,"liberal-konservativ","1",\N,\N,\N
"71",\N,"BueJG1793",\N,\N,"1","1","2","1","Bürkli","Johann Georg",\N,"1793-01-01 00:00:00",\N,\N,"1851-01-01 00:00:00","Zürich, Switzerland*","Schinznach",\N,"bis 1827 Seidenhandelskaufmann ","4",\N,"D32392","0"
"72",\N,"BueFPD1818",\N,\N,"5","1","3","1","Bürkli","Friedrich Paul David",\N,"1818-01-01 00:00:00","Zürich, Switzerland",\N,"1896-01-01 00:00:00",\N,\N,\N,"Friedrich Paul David Bürkli arbeitete von 1837 an in der Redaktion des Wochenblattes Züricher Freitags-Zeitung, die bereits seit 1674 über mehrere Generationen im Besitz der Familie Bürkli war. Von 1852 bis 1877 war er selbständiger Redaktor dieser Zeitung. Ab den 1830er Jahren bis zu seinem Tod 1896 gab er den seit 1781 jährlich erscheinenden Züricher Kalender heraus. Ein weiterer Titel aus seinem Haus waren die Reisebegleiter für die Schweiz, die unter anderem Bahn- und Schiffsfahrpläne enthielten. Friedrich Bürklis Sammlung umfasst um die 1500 Titel. Bei etwa der Hälfte davon handelt es sich um orientalistische Fachliteratur des 19. Jahrhunderts, bei der anderen Hälfte um Drucke aus Europa, Ägypten und Indien in grösstenteils arabischer Sprache. Die Werke stammen von arabischen Autoren des 6. bis 16. Jahrhunderts und decken die Gebiete Grammatik, Lexikologie, islamisches Recht, islamische Theologie, Literatur und Geschichte ab (Wikipedia).","1",\N,\N,\N
"73",\N,"BueHK1724§",\N,\N,"5","1","3","1","Bürkli","Hans Kaspar",\N,\N,"Zürich, Switzerland*",\N,\N,\N,\N,\N,"owner of the Bürklische Drukerey","1",\N,\N,\N
"74",\N,"BueD1735",\N,\N,"5","1","3","1","Bürkli","David",\N,"1735-01-01 00:00:00","Zürich, Switzerland*",\N,"1790-01-01 00:00:00",\N,\N,\N,"owner of the Bürklische Drukerey","4",\N,"1061010279","0"
"75",\N,"BueK1823",\N,\N,"1","1","1","1","Bürkli","Karl ",\N,"1823-01-01 00:00:00","Zürich/Mettmenstetten",\N,"1901-01-01 00:00:00","Mettmenstetten","Zürich",\N,\N,"4",\N,"117667099","0"
"76",\N,"By1788",\N,\N,"2","1","2","1","Byron",\N,\N,"1788-01-01 00:00:00",\N,\N,"1824-01-01 00:00:00",\N,\N,\N,"Lord Byron schwärmte für die Schweiz","1",\N,\N,\N
"77",\N,"CaMA1775",\N,\N,"2","1","4","2","Calame","Marie-Anne",\N,"1775-01-01 00:00:00",\N,\N,"1834-01-01 00:00:00","Le Locle","Le Locle",\N,"Pietist.","4",\N,"67273396","0"
"78",\N,"vCaCJ1751",\N,\N,"1","1","3","1","Campagne","Carl Joseph, von",\N,"1751-01-01 00:00:00","Bussenhausen",\N,"1833-01-01 00:00:00",\N,\N,\N,"Mystiker","1",\N,\N,\N
"79",\N,"CaEH1892",\N,\N,"2","1","2","1","Carr","Edward Hallett",\N,"1892-01-01 00:00:00",\N,\N,"1982-01-01 00:00:00","London, England","London, England",\N,\N,"4",\N,"24418","0"
"80",\N,"CaExxxx",\N,\N,"3","1","5","1","Cassirer","Ernst",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N,\N,\N
"81",\N,"CaNAX1767",\N,\N,"2","1","2","1","Castella de Berlens","Nicolas Antoine Xavier ",\N,"1767-01-01 00:00:00",\N,\N,"1830-01-01 00:00:00","Paris, France","Fribourg, Switzerland",\N,"Swiss coronel during the Russian Campaign.","2",\N,"na","0"
"82",\N,"CaC1801",\N,\N,"2","1","2","1","Cattaneo","Carlo",\N,"1801-01-01 00:00:00",\N,\N,"1860-01-01 00:00:00","Milan, Italy","Milan, Italy",\N,\N,"1",\N,\N,\N
"83",\N,"ChP1850",\N,\N,"2","1","2","2","Chaponniere-Chaix","Pauline",\N,"1850-01-01 00:00:00",\N,\N,"1934-01-01 00:00:00","Geneva, Switzerland","Geneva, Switzerland",\N,\N,"2",\N,"na","0"
"84",\N,"ChX1757",\N,\N,"2","1","3","1","Charles X of France",\N,"Karl X.","1757-01-01 00:00:00",\N,\N,"1836-01-01 00:00:00","Görz, Austria (now in Italy)","Palace of Versailles, France",\N,"König von Frankreich, gestürzt, Bruder von Ludwig XVI.","2",\N,"na","0"
"85",\N,"ChAL1773",\N,\N,"2","1","3","1","Chézny","Antoine Léonard, de",\N,"1773-01-01 00:00:00",\N,\N,"1832-01-01 00:00:00",\N,\N,\N,"Professor Sanskrit","1",\N,\N,\N
"86",\N,"CiP1819",\N,\N,"2","1","2","1","Cironi","Piero",\N,"1819-01-01 00:00:00",\N,\N,"1862-01-01 00:00:00","Prato, Italy","Prato, Italy",\N,"Patriot and dear friend of Giuseppe Mazzini. 1853-1857 exiled to Zürich after he had planned the march to Savoy (Savoyerzug) in 1834 and failed.","4",\N,"49594102","0"
"87",\N,"CoN1743",\N,\N,"2","1","3","1","Condorcet","Nicolas","Marie Jean Antoine Nicolas de Caritat, m","1743-01-01 00:00:00",\N,\N,"1794-01-01 00:00:00","Bourg-la-Reine, France","Ribemont, France",\N,"entwickelt Idee der Volksinitiative","1",\N,\N,\N
"88",\N,"CoA0000",\N,\N,"2","1","6","1","Conseil","Auguste",\N,\N,\N,\N,\N,\N,\N,\N,"Spion, politischer Flüchtling, Conseil-Affaire 1835","1",\N,\N,\N
"89",\N,"CoV1808",\N,\N,"2","1","1","1","Considerant","Victor Proper",\N,"1808-01-01 00:00:00",\N,\N,"1893-01-01 00:00:00","Paris, France","Salins-les-Bains, France",\N,"Utopist, not directly involved in Swiss history","1",\N,\N,\N
