"game_agent_id","agent_name","id","img","groupID","selection_class","agenttype1","agenttype2","gender","last_name","first_name","other_name","birthday","birth_location","birth_location_map","deathday","death_location","workplace","knows","shortbio","data_evaluation","authority_record","authority_organization","memberID"
"17",\N,"17",\N,\N,"1","1","2","1","Bär","Heinrich",\N,"1814-01-01 00:00:00","Weisslingen",\N,\N,\N,\N,\N,"hilft Eltern auf dem Heimwesen","1",\N,\N,"BaeH1814"
"18",\N,"18",\N,\N,"2","1","2","1","Battaglini","Carlo",\N,"1812-01-01 00:00:00",\N,\N,\N,\N,\N,\N,\N,"1",\N,\N,"BaC1812"
"19",\N,"19",\N,\N,"2","1","2","1","Baumgartner","Gallus Jakob",\N,"1797-01-01 00:00:00","Altstätten",\N,"1869-01-01 00:00:00","St. Gallen","Altstätten",\N,"Revolutionsführer in St. Gallen","1",\N,\N,"BaGJ1797"
"20",\N,"20",\N,\N,"2","1","2","2","Beauharnais","Hortense, de",\N,"1783-01-01 00:00:00","Aarburg, Thurgau",\N,"1837-01-01 00:00:00","Arenenberg, Thurgau, Switzerland","Paris, France",\N,"Politischer Flüchtling aus Frankreich in Aarburg, Schwägerin Napoleons","2","na","0","BeH1783"
"21",\N,"21",\N,\N,"3","1","5","1","Beck","Marcel",\N,\N,\N,\N,\N,\N,\N,\N,"“Entlarvung der Gründungsgeschichte der schweizerischen Eidgenossenschaft als Mythos des 19. Jahrhunderts” (Brändli, 2004)","1",\N,\N,"BeMxxxx"
"22",\N,"22",\N,\N,"2","1","2","1","Begos","L.",\N,\N,\N,\N,\N,\N,\N,\N,"Lieutenant-Colonel Louis Begos ancien capitaine-adjudant-major au deuxième régiment suisse au service de France","2","na","0","BeL1851§"
"23",\N,"23",\N,\N,"2","1","2","1","Benary","Karl Albert Agathon",\N,"1807-01-01 00:00:00",\N,\N,"1861-01-01 00:00:00",\N,\N,\N,"Professor Sprache","1",\N,\N,"BeKAA1807"
"24",\N,"24",\N,\N,"3","1","5","2","Berlepsch","Dorothea Friderika Aemilia, von",\N,"1755-01-01 00:00:00",\N,\N,"1830-01-01 00:00:00","na","na",\N,"actually Dorothea Friderika Aemilia von Berlepsch (1755-1830) -  (1799) – the revolution of Switzerland not “ewigen Gesetzen treu” in (Epple, 2003) (p. 196) writes about „ ‚ganz auf natürliche[n] Grundsätze ruhende [...] Verfassung‘ der Schweizer Gesellschaft“ (Berlepsch, 1799; Berlepsch & Pan, 1799) in (Epple, 2003) (p. 196)  - „von einzelnen Machthabern verführtes Volk“ in (Vahsen, 2000)","2","na","0","BeDFA1755"
"25",\N,"25",\N,\N,"3","1","5","2","Bernhardi","Elisabeth Eleonore","Philogyn","1768-01-01 00:00:00",\N,\N,"1849-01-01 00:00:00","Freiberg","Freiberg",\N,\N,"2","na","0","BeEE1768"
"26",\N,"26",\N,\N,"2","1","5","2","Berta",\N,\N,\N,\N,\N,\N,"Zürich, Switzerland","Zürich, Switzerland",\N,"Princess Abbess of the Imperial Abbey of Fraumünster (Zürich)","4","81099071","0","Be833*"
"27",\N,"27",\N,\N,"2","1","3","1","Berthier","Louis Alexandre",\N,"1753-01-01 00:00:00","Neuchatel",\N,"1815-01-01 00:00:00","Bamberg","Versailles",\N,"Napoleons Marchall in Neuenburg von 1806-1814","1",\N,\N,"BeA1753"
"28",\N,"28",\N,\N,"2","1","2","1","Biedermann","Alois Emanuel",\N,"1819-01-01 00:00:00",\N,\N,"1885-01-01 00:00:00",\N,\N,\N,"Sohn des Stadtrat Winterthur (1931)","1",\N,\N,"BiAE1819"
"29",\N,"29",\N,\N,"2","1","3","1","Biedermann","Emanuel",\N,"1779-01-01 00:00:00","Winterthur",\N,"1836-01-01 00:00:00",\N,\N,\N,"Stadrat Winterthur (1931)","1",\N,\N,"BiE1779"
"30",\N,"30",\N,\N,"3","1","5","1","Blanke","Horst Walter",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N,\N,"BlHWxxxx"
"31",\N,"31",\N,\N,"1","1","2","1","Bleuler","Jakob",\N,"1799-01-01 00:00:00","Zollikon",\N,"1839-01-01 00:00:00",\N,\N,\N,"Taglöhner in Zürich","1",\N,\N,"BlJ1799"
"32",\N,"32",\N,\N,"2","1","2","1","Bleuler","Salomon",\N,"1829-01-01 00:00:00",\N,\N,"1886-01-01 00:00:00","Winterthur, Switzerland","Zürich, Switzerland",\N,\N,"4","62765296","0","BlS1829"
"33",\N,"33",\N,\N,"2","1","2","2","Bleuler-Waser","Hedwig",\N,"1869-01-01 00:00:00",\N,\N,"1940-01-01 00:00:00","Zollikon","Zürich",\N,\N,"2","na","0","BlWaH1869"
"34",\N,"34",\N,\N,"4","1","4","1","Bloch","Marc Léopold Benjamin",\N,"1886-01-01 00:00:00",\N,\N,"1944-01-01 00:00:00",\N,\N,\N,"Historiker der Annales school","1",\N,\N,"BlMLB1886"
"35",\N,"35",\N,\N,"2","1","3","2","Bloch-Bollarg","Rosa",\N,"1880-01-01 00:00:00",\N,\N,"1922-01-01 00:00:00","Zürich","Zürich",\N,\N,"2","na","0","BlBoR1880"
"36",\N,"36",\N,\N,"2","1","1","1","Blum","Robert   ",\N,"1807-01-01 00:00:00",\N,\N,"1848-01-01 00:00:00","Vienna, Austria","Cologne, Germany",\N,"German democratic politician, publicist, pot, publisher, revolutionist and member of the National Aseembly of 1848.","1",\N,\N,"BlR1807"
"37",\N,"37",\N,\N,"3","1","5","1","Bluntschli","Hans Heinrich",\N,"1656-01-01 00:00:00",\N,\N,"1722-01-01 00:00:00",\N,\N,\N,"in «Memorabilia Tigurina» (1704)  extendes origin of Zurich to times of Abraham (2000 b. Chr.) 1200 years before Rome and founded (refounded) by prominent figures like Cesar and Charlmagne","1",\N,\N,"BlHH1656"
"38",\N,"38",\N,\N,"1","1","1","1","Bluntschli","Johan Caspar ",\N,"1808-01-01 00:00:00","Zürich/Karlsruhe",\N,"1881-01-01 00:00:00","Karlsruhe","Zürich, Switzerland",\N,"Dr. jur. Rechtswissenschaftler und Politiker","4","14836641","0","BlJC1808"
"39",\N,"39",\N,\N,"3","1","5","1","Bodmer","Johann Jakob",\N,"1698-01-01 00:00:00","Critische Betrachtungen (1741) – CH –current critic of Bodmers „chronicle tradition“ Gustav Tobler. JJ Bodmer als Geschichtsschreiber in (Zimmer, 2003) (p. 45)",\N,"1783-01-01 00:00:00",\N,\N,\N,"Sprachwissenschafter, gehörte zu den Patrioten","1",\N,\N,"BoJJ1698"
"40",\N,"40",\N,\N,"2","1","2","1","Bodmer","Karl",\N,"1809-01-01 00:00:00",\N,\N,"1893-01-01 00:00:00","Paris","Zürich",\N,\N,"1",\N,\N,"BoK1809"
"41",\N,"41",\N,\N,"2","1","6","1","Bodrik","na",\N,\N,\N,\N,\N,\N,\N,\N,"Professor italienischer Literatur in Zürich","1",\N,\N,"Bo0000"
"42",\N,"42",\N,\N,"4","1","4","2","Bögli","Lina",\N,"1858-01-01 00:00:00",\N,\N,"1941-01-01 00:00:00",\N,\N,\N,"Biographer","1",\N,\N,"BoeL1858"
"43",\N,"43",\N,\N,"1","1","2","1","Boller","Conrad",\N,"1809-01-01 00:00:00","Pfäffikon",\N,\N,\N,\N,\N,"hilft Vater auf Heimwesen","1",\N,\N,"BoC1809"
"44",\N,"44",\N,\N,"2","1","2","1","Bonaparte","Napoleon Franz","Napoleon Franz Bonaparte","0000-00-00 00:00:00","1811-01-01 00:00:00",\N,"0000-00-00 00:00:00","1832-01-01 00:00:00",\N,\N,\N,\N,\N,"1","BoNF1811"
"45",\N,"45",\N,\N,"4","1","4","2","Bondeli","(Suzanne) Julie",\N,"1732-01-01 00:00:00",\N,\N,"1778-01-01 00:00:00","Neuchâtel, Switzerland","Bern, Switzerland",\N,\N,"4","67259373","0","BoSJ1732"
"46",\N,"46",\N,\N,"3","1","5","1","Bonjour","Edgar",\N,"1898-01-01 00:00:00",\N,\N,"1991-01-01 00:00:00",\N,\N,\N,"definition and defens of the Swiss “Sonderposition”, Swiss neutrality, “minimizes the signification of the French revolution” – democratic values as already existing in the Confederation (Universität Basel, 2010) (Zur Herleitung des Monumentalwerkes der 1960er und 1970er Jahre aus den Anfängen von 1943 vgl. Georg Kreis: Die Geschichte des Bonjour-Berichts. Und ein Rückblick auf dreissig Jahre Geschichtsschreibung zur Schweiz im Zweiten Weltkrieg. In: NZ am Wochenende vom 5. Juni 1976.)","1",\N,\N,"BoE1898"
"47",\N,"47",\N,\N,"1","1","3","1","Bonstetten","Karl Viktor, von",\N,"1745-01-01 00:00:00","Bern/Genf",\N,"1832-01-01 00:00:00",\N,\N,\N,"Schriftsteller","1",\N,\N,"BoKV1745"
"48",\N,"48",\N,\N,"2","1","2","1","Bopp","Franz",\N,"1791-01-01 00:00:00",\N,\N,"1867-01-01 00:00:00",\N,\N,\N,"Professor Sanskrit","1",\N,\N,"BoF1791"
"49",\N,"49",\N,\N,"2","1","6","1","Borel","???",\N,\N,"Neuchatel",\N,\N,\N,\N,\N,"Pfarrer (Ministre) im Welschland, verheiratet mit einer Meuron","1",\N,\N,"Borel0000"
"50",\N,"50",\N,\N,"2","1","2","1","Borel","Eugène",\N,"1835-01-01 00:00:00",\N,\N,"1892-01-01 00:00:00","Bern","Neuchatel",\N,\N,"1",\N,\N,"BoE1835"
"51",\N,"51",\N,\N,"2","1","2","1","Bornhauser","Thomas",\N,"1799-01-01 00:00:00","Weinfelden",\N,"1856-01-01 00:00:00","Müllheim","Weinfelden",\N,"Revolutionsführer","1",\N,\N,"BoT1799"
"52",\N,"52",\N,\N,"1","1","2","1","Bosshard","Hans Jakob",\N,"1784-01-01 00:00:00","Hittnau/Zürich",\N,"1839-01-01 00:00:00",\N,\N,\N,"arm","1",\N,\N,"BoHJ1784"
"53",\N,"53",\N,\N,"1","1","2","1","Bosshard","Johannes",\N,"1820-01-01 00:00:00","Wila",\N,\N,\N,\N,\N,"unbekannt","1",\N,\N,"BoJ1820"
"54",\N,"54",\N,\N,"2","1","5","1","Bossuet ","Jacques Bénigne ",\N,"1627-01-01 00:00:00",\N,\N,"1704-01-01 00:00:00","France","France",\N,"(1681) Discours sur l‘histoire universelle  – theological universal history","1",\N,\N,"BoJB1627"
"55",\N,"55",\N,\N,"2","1","5","1","Boyve","Jérome-Emmanuel",\N,"1731-01-01 00:00:00","Neuchatel",\N,"1810-01-01 00:00:00","Neuchatel","Neuchatel",\N,"Chancilier in Neuchatel","1",\N,\N,"Boyve1731"
"56",\N,"56",\N,\N,"2","1","6","1","Brähm","???",\N,\N,"Meilen",\N,\N,\N,\N,\N,"Lehrer von Heinrich Escher","1",\N,\N,"Brähm0000"
"57",\N,"57",\N,\N,"3","1","5","2","Brentano-Ehrmann","Marianne",\N,"1755-01-01 00:00:00",\N,\N,"1795-01-01 00:00:00","na","na",\N,"also Marianne Ehrmann (1755-1795) (CH) – actress – editor - Philosophie eines Weibes: Von einer Beobachterin im Jahre 1784 (Ehrmann, 1784) - Amalie. Eine wahre Geschichte in Briefen (Ehrmann, 1788) – overlapping between historiography and belletristic especially in the genre of epistolary novels – writes with her husband the Wochenschrift for the Beobachter","2","na","0","BrEhM1755"
"58",\N,"58",\N,\N,"3","1","5","2","Brun ","Friederike Sophie Christiane",\N,"1765-01-01 00:00:00",\N,\N,"1835-01-01 00:00:00","Kopenhagen","Gräfentonna",\N,\N,"2","na","0","BrFSC1765"
"59",\N,"59",\N,\N,"5","1","2","2","Hatzfeld","Sophie, Gräfin von",\N,"1805-01-01 00:00:00",\N,\N,"1881-01-01 00:00:00","Wiesbaden","Trachenberg",\N,"German socialist and partner of Ferdinand Lasalle","4","54940048","0","HaS1805"
"60",\N,"60",\N,\N,"5","1","2","2","Lasalle","Lisbeth",\N,\N,\N,\N,\N,\N,\N,\N,"Daughter of Ferdinand Lasalle","1",\N,\N,"LaLxxxx"
"61",\N,"61",\N,\N,"5","1","2","2","Assing","Rosa Ludmilla","pseudonyms: Achim Lothar, Talora","1821-01-01 00:00:00",\N,\N,"1880-01-01 00:00:00","Florence","Hamburg",\N,"Jewish-German writer","4","100384493","0","AsL1821"
"62",\N,"62",\N,\N,"2","1","6","1","Brunner","???",\N,\N,\N,\N,\N,\N,\N,\N,"Oberstleutnant","1",\N,\N,"Brunner0000"
"63",\N,"63",\N,\N,"2","1","2","1","Büchner","Georg",\N,"1813-01-01 00:00:00","Hessen",\N,"1837-01-01 00:00:00","Zürich, Switzerland","Riedstadt, Grand Duchy of Hesse",\N,"Ausländischer Revolutionär an der Uni Zürich","1",\N,\N,"BueG1813"
"64",\N,"64",\N,\N,"2","1","3","1","Büchner","Georg",\N,\N,\N,\N,\N,\N,\N,\N,"1834 versuchter Selbstmord in Zürich","1",\N,\N,"BueG0000"
"65",\N,"65",\N,\N,"3","1","5","1","Buffon",\N,\N,\N,\N,\N,\N,\N,\N,\N,"wrote (1746) histoire naturelle (and others) include nature in universal history – mountains in Swiss identity!","1",\N,\N,"Bu1746§"
"66",\N,"66",\N,\N,"3","1","5","1","Bullinger","Heinrich",\N,"1504-01-01 00:00:00",\N,\N,"1575-01-01 00:00:00","Zürich, Switzerland","Bremgarten, Switzerland",\N,"Theologieprofessorm später Pfarrer in Erlibach","1",\N,\N,"Bullinger1504"
"67",\N,"67",\N,\N,"1","1","5","1","Burckhardt ","Jakob Christoph",\N,"1818-01-01 00:00:00","Basel",\N,"1897-01-01 00:00:00",\N,\N,\N,"Kultur- und Kunsthistoriker. ","1",\N,\N,"BuJC1818"
"68",\N,"68",\N,\N,"3","1","5","2","Bürger","Marie Christiane Elisabeth","Elise Bürger","1760-01-01 00:00:00",\N,\N,"1833-01-01 00:00:00","Frankfurt am Main","Stuttgart",\N,\N,"2","na","0","BueMCE1760"
"69",\N,"69",\N,\N,"2","1","2","1","Bürgi","David",\N,"1801-01-01 00:00:00",\N,\N,"1874-01-01 00:00:00","Fluntern","Bäretschweil",\N,\N,"4","103131442","0","Bürgi1801"
"70",\N,"70",\N,\N,"2","1","2","1","Burkhardt","Carl Jacob Christoph",\N,"1818-01-01 00:00:00","Basel",\N,"1897-01-01 00:00:00","Basel, Switzerland","Basel, Switzerland",\N,"liberal-konservativ","1",\N,\N,"BuCJC1818"
"71",\N,"71",\N,\N,"1","1","2","1","Bürkli","Johann Georg",\N,"1793-01-01 00:00:00",\N,\N,"1851-01-01 00:00:00","Zürich, Switzerland*","Schinznach",\N,"bis 1827 Seidenhandelskaufmann ","4","D32392","0","BueJG1793"
"72",\N,"72",\N,\N,"5","1","3","1","Bürkli","Friedrich Paul David",\N,"1818-01-01 00:00:00","Zürich, Switzerland",\N,"1896-01-01 00:00:00",\N,\N,\N,"Friedrich Paul David Bürkli arbeitete von 1837 an in der Redaktion des Wochenblattes Züricher Freitags-Zeitung, die bereits seit 1674 über mehrere Generationen im Besitz der Familie Bürkli war. Von 1852 bis 1877 war er selbständiger Redaktor dieser Zeitung. Ab den 1830er Jahren bis zu seinem Tod 1896 gab er den seit 1781 jährlich erscheinenden Züricher Kalender heraus. Ein weiterer Titel aus seinem Haus waren die Reisebegleiter für die Schweiz, die unter anderem Bahn- und Schiffsfahrpläne enthielten. Friedrich Bürklis Sammlung umfasst um die 1500 Titel. Bei etwa der Hälfte davon handelt es sich um orientalistische Fachliteratur des 19. Jahrhunderts, bei der anderen Hälfte um Drucke aus Europa, Ägypten und Indien in grösstenteils arabischer Sprache. Die Werke stammen von arabischen Autoren des 6. bis 16. Jahrhunderts und decken die Gebiete Grammatik, Lexikologie, islamisches Recht, islamische Theologie, Literatur und Geschichte ab (Wikipedia).","1",\N,\N,"BueFPD1818"
"73",\N,"73",\N,\N,"5","1","3","1","Bürkli","Hans Kaspar",\N,\N,"Zürich, Switzerland*",\N,\N,\N,\N,\N,"owner of the Bürklische Drukerey","1",\N,\N,"BueHK1724§"
"74",\N,"74",\N,\N,"5","1","3","1","Bürkli","David",\N,"1735-01-01 00:00:00","Zürich, Switzerland*",\N,"1790-01-01 00:00:00",\N,\N,\N,"owner of the Bürklische Drukerey","4","1061010279","0","BueD1735"
"75",\N,"75",\N,\N,"1","1","1","1","Bürkli","Karl ",\N,"1823-01-01 00:00:00","Zürich/Mettmenstetten",\N,"1901-01-01 00:00:00","Mettmenstetten","Zürich",\N,\N,"4","117667099","0","BueK1823"
"76",\N,"76",\N,\N,"2","1","2","1","Byron",\N,\N,"1788-01-01 00:00:00",\N,\N,"1824-01-01 00:00:00",\N,\N,\N,"Lord Byron schwärmte für die Schweiz","1",\N,\N,"By1788"
"77",\N,"77",\N,\N,"2","1","4","2","Calame","Marie-Anne",\N,"1775-01-01 00:00:00",\N,\N,"1834-01-01 00:00:00","Le Locle","Le Locle",\N,"Pietist.","4","67273396","0","CaMA1775"
"78",\N,"78",\N,\N,"1","1","3","1","Campagne","Carl Joseph, von",\N,"1751-01-01 00:00:00","Bussenhausen",\N,"1833-01-01 00:00:00",\N,\N,\N,"Mystiker","1",\N,\N,"vCaCJ1751"
"79",\N,"79",\N,\N,"2","1","2","1","Carr","Edward Hallett",\N,"1892-01-01 00:00:00",\N,\N,"1982-01-01 00:00:00","London, England","London, England",\N,\N,"4","24418","0","CaEH1892"
"80",\N,"80",\N,\N,"3","1","5","1","Cassirer","Ernst",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N,\N,"CaExxxx"
"81",\N,"81",\N,\N,"2","1","2","1","Castella de Berlens","Nicolas Antoine Xavier ",\N,"1767-01-01 00:00:00",\N,\N,"1830-01-01 00:00:00","Paris, France","Fribourg, Switzerland",\N,"Swiss coronel during the Russian Campaign.","2","na","0","CaNAX1767"
"82",\N,"82",\N,\N,"2","1","2","1","Cattaneo","Carlo",\N,"1801-01-01 00:00:00",\N,\N,"1860-01-01 00:00:00","Milan, Italy","Milan, Italy",\N,\N,"1",\N,\N,"CaC1801"
"83",\N,"83",\N,\N,"2","1","2","2","Chaponniere-Chaix","Pauline",\N,"1850-01-01 00:00:00",\N,\N,"1934-01-01 00:00:00","Geneva, Switzerland","Geneva, Switzerland",\N,\N,"2","na","0","ChP1850"
"84",\N,"84",\N,\N,"2","1","3","1","Charles X of France",\N,"Karl X.","1757-01-01 00:00:00",\N,\N,"1836-01-01 00:00:00","Görz, Austria (now in Italy)","Palace of Versailles, France",\N,"König von Frankreich, gestürzt, Bruder von Ludwig XVI.","2","na","0","ChX1757"
"85",\N,"85",\N,\N,"2","1","3","1","Chézny","Antoine Léonard, de",\N,"1773-01-01 00:00:00",\N,\N,"1832-01-01 00:00:00",\N,\N,\N,"Professor Sanskrit","1",\N,\N,"ChAL1773"
"86",\N,"86",\N,\N,"2","1","2","1","Cironi","Piero",\N,"1819-01-01 00:00:00",\N,\N,"1862-01-01 00:00:00","Prato, Italy","Prato, Italy",\N,"Patriot and dear friend of Giuseppe Mazzini. 1853-1857 exiled to Zürich after he had planned the march to Savoy (Savoyerzug) in 1834 and failed.","4","49594102","0","CiP1819"
"87",\N,"87",\N,\N,"2","1","3","1","Condorcet","Nicolas","Marie Jean Antoine Nicolas de Caritat, m","1743-01-01 00:00:00",\N,\N,"1794-01-01 00:00:00","Bourg-la-Reine, France","Ribemont, France",\N,"entwickelt Idee der Volksinitiative","1",\N,\N,"CoN1743"
"88",\N,"88",\N,\N,"2","1","6","1","Conseil","Auguste",\N,\N,\N,\N,\N,\N,\N,\N,"Spion, politischer Flüchtling, Conseil-Affaire 1835","1",\N,\N,"CoA0000"
"89",\N,"89",\N,\N,"2","1","1","1","Considerant","Victor Proper",\N,"1808-01-01 00:00:00",\N,\N,"1893-01-01 00:00:00","Paris, France","Salins-les-Bains, France",\N,"Utopist, not directly involved in Swiss history","1",\N,\N,"CoV1808"
